item,Trait_0,Trait_1,Trait_2,Trait_3,Trait_4,Bias
10,"Gaussian(-1.65823, 0.01425)","Gaussian(-1.33156, 0.01534)","Gaussian(0.19136, 0.01648)","Gaussian(1.75367, 0.01993)","Gaussian(0.04095, 0.01393)","Gaussian(-1.49544, 0.03087)"
11,Gaussian.PointMass(0.00000),Gaussian.PointMass(1.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),"Gaussian(0.24123, 0.01760)"
12,"Gaussian(0.83671, 0.01001)","Gaussian(-1.60734, 0.01136)","Gaussian(-0.99283, 0.01172)","Gaussian(-0.37747, 0.01185)","Gaussian(0.76810, 0.01101)","Gaussian(1.09349, 0.02171)"
13,"Gaussian(-1.58477, 0.01456)","Gaussian(0.59936, 0.01266)","Gaussian(0.75642, 0.01442)","Gaussian(0.45917, 0.01259)","Gaussian(-1.02004, 0.01260)","Gaussian(1.10210, 0.02565)"
14,"Gaussian(0.34776, 0.01034)","Gaussian(0.62089, 0.01244)","Gaussian(-0.01080, 0.01436)","Gaussian(-0.54287, 0.01445)","Gaussian(2.06745, 0.01963)","Gaussian(-0.82786, 0.02605)"
15,"Gaussian(0.94356, 0.01057)","Gaussian(1.13476, 0.01491)","Gaussian(-0.59502, 0.01421)","Gaussian(1.17452, 0.01482)","Gaussian(-1.02469, 0.01814)","Gaussian(0.76043, 0.02762)"
16,Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(1.00000),"Gaussian(-0.28166, 0.01745)"
17,"Gaussian(0.61778, 0.00980)","Gaussian(1.77932, 0.01654)","Gaussian(1.13711, 0.01742)","Gaussian(0.55267, 0.01355)","Gaussian(-0.21029, 0.01233)","Gaussian(0.19483, 0.02641)"
18,"Gaussian(-1.72808, 0.01564)","Gaussian(0.16097, 0.01362)","Gaussian(-2.55673, 0.02213)","Gaussian(-0.46649, 0.01626)","Gaussian(0.31623, 0.01353)","Gaussian(1.60238, 0.03117)"
19,"Gaussian(-1.27585, 0.01221)","Gaussian(1.33355, 0.01311)","Gaussian(0.62951, 0.01489)","Gaussian(0.95832, 0.01311)","Gaussian(0.51427, 0.01168)","Gaussian(0.32903, 0.02512)"
20,"Gaussian(0.96042, 0.01457)","Gaussian(-1.17600, 0.01386)","Gaussian(-1.05515, 0.01509)","Gaussian(-0.10924, 0.01568)","Gaussian(-2.23640, 0.02572)","Gaussian(-1.07196, 0.03051)"
21,"Gaussian(-1.38666, 0.01287)","Gaussian(1.69603, 0.01522)","Gaussian(0.38260, 0.01658)","Gaussian(0.14033, 0.01545)","Gaussian(0.42643, 0.01288)","Gaussian(-1.43030, 0.02796)"
22,"Gaussian(1.12449, 0.01281)","Gaussian(0.58510, 0.01487)","Gaussian(0.51850, 0.01693)","Gaussian(-1.88699, 0.02257)","Gaussian(-1.35341, 0.01964)","Gaussian(2.39297, 0.03362)"
23,"Gaussian(-0.06454, 0.00931)","Gaussian(0.19185, 0.01170)","Gaussian(1.43225, 0.01689)","Gaussian(-1.19029, 0.01447)","Gaussian(-1.25090, 0.01352)","Gaussian(1.11399, 0.02512)"
24,"Gaussian(-1.33906, 0.01336)","Gaussian(-0.21303, 0.01271)","Gaussian(2.13851, 0.02610)","Gaussian(1.08391, 0.01553)","Gaussian(-0.21602, 0.01301)","Gaussian(0.45934, 0.02910)"
25,"Gaussian(0.39437, 0.01130)","Gaussian(1.82744, 0.01632)","Gaussian(-0.45739, 0.01440)","Gaussian(0.97761, 0.01534)","Gaussian(-0.39455, 0.01308)","Gaussian(-1.66973, 0.02717)"
26,Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(1.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),"Gaussian(2.06437, 0.01981)"
27,"Gaussian(1.31460, 0.01790)","Gaussian(-1.55242, 0.01815)","Gaussian(-1.12980, 0.01696)","Gaussian(0.23131, 0.01743)","Gaussian(-1.77057, 0.02199)","Gaussian(-2.31974, 0.03545)"
28,"Gaussian(-1.00962, 0.01343)","Gaussian(1.69155, 0.01972)","Gaussian(-1.48143, 0.01604)","Gaussian(0.93339, 0.01550)","Gaussian(1.02989, 0.01405)","Gaussian(1.15167, 0.03055)"
29,"Gaussian(-1.31918, 0.01390)","Gaussian(1.85480, 0.01708)","Gaussian(0.75696, 0.02016)","Gaussian(0.38440, 0.01653)","Gaussian(1.20617, 0.01682)","Gaussian(-1.18404, 0.03232)"
30,"Gaussian(-1.13340, 0.01129)","Gaussian(-0.86392, 0.01235)","Gaussian(0.04504, 0.01545)","Gaussian(0.47546, 0.01602)","Gaussian(-2.13819, 0.01730)","Gaussian(-1.42603, 0.02721)"
31,"Gaussian(-0.03773, 0.01252)","Gaussian(0.68154, 0.01445)","Gaussian(-2.78665, 0.03047)","Gaussian(-0.78805, 0.01636)","Gaussian(-0.46580, 0.01523)","Gaussian(0.92460, 0.03180)"
32,"Gaussian(-0.21584, 0.01014)","Gaussian(0.87216, 0.01329)","Gaussian(0.33773, 0.01519)","Gaussian(-0.26278, 0.01492)","Gaussian(1.96498, 0.01803)","Gaussian(0.26035, 0.02652)"
33,"Gaussian(-0.62262, 0.01249)","Gaussian(-1.98430, 0.01508)","Gaussian(-0.15976, 0.01598)","Gaussian(0.70181, 0.01624)","Gaussian(1.84135, 0.02126)","Gaussian(-0.90547, 0.03069)"
34,"Gaussian(0.92796, 0.01145)","Gaussian(0.56925, 0.01230)","Gaussian(-1.13297, 0.01626)","Gaussian(-0.95499, 0.01608)","Gaussian(-1.10083, 0.01672)","Gaussian(1.89538, 0.02798)"
35,"Gaussian(0.48415, 0.01069)","Gaussian(1.10640, 0.01271)","Gaussian(1.39181, 0.01988)","Gaussian(-1.74069, 0.01958)","Gaussian(-0.05529, 0.01279)","Gaussian(-0.44894, 0.02799)"
36,"Gaussian(-2.28582, 0.01843)","Gaussian(-0.81332, 0.01362)","Gaussian(0.52697, 0.01682)","Gaussian(-0.18686, 0.01403)","Gaussian(-0.83292, 0.01432)","Gaussian(-0.24190, 0.02928)"
37,"Gaussian(-0.32357, 0.01104)","Gaussian(-2.12327, 0.01683)","Gaussian(0.12343, 0.01567)","Gaussian(-1.11697, 0.01617)","Gaussian(-1.83277, 0.01802)","Gaussian(1.03682, 0.03018)"
38,"Gaussian(-2.12421, 0.01678)","Gaussian(-0.38044, 0.01608)","Gaussian(-0.14106, 0.01826)","Gaussian(0.64198, 0.02102)","Gaussian(1.49649, 0.02367)","Gaussian(-2.56683, 0.03585)"
39,"Gaussian(-0.31946, 0.01235)","Gaussian(-1.83995, 0.01724)","Gaussian(2.23633, 0.03373)","Gaussian(0.76867, 0.01761)","Gaussian(0.27729, 0.01496)","Gaussian(1.23550, 0.03343)"
40,"Gaussian(-1.20125, 0.01132)","Gaussian(-0.88071, 0.01117)","Gaussian(0.44710, 0.01409)","Gaussian(0.59526, 0.01372)","Gaussian(1.32199, 0.01581)","Gaussian(-0.88404, 0.02493)"
41,"Gaussian(-1.43550, 0.01373)","Gaussian(1.97507, 0.01761)","Gaussian(0.22597, 0.01440)","Gaussian(0.09631, 0.01333)","Gaussian(0.02690, 0.01116)","Gaussian(0.62129, 0.02680)"
42,"Gaussian(-1.15965, 0.01345)","Gaussian(-0.35451, 0.01670)","Gaussian(1.42575, 0.02324)","Gaussian(-2.39194, 0.02434)","Gaussian(-0.56368, 0.01623)","Gaussian(0.72919, 0.03581)"
43,"Gaussian(-1.47497, 0.01215)","Gaussian(0.88681, 0.01265)","Gaussian(-0.72778, 0.01584)","Gaussian(-1.98680, 0.01599)","Gaussian(-0.44249, 0.01352)","Gaussian(-1.41982, 0.02735)"
44,"Gaussian(-1.73868, 0.01264)","Gaussian(-0.55645, 0.01217)","Gaussian(1.09756, 0.01674)","Gaussian(0.26265, 0.01375)","Gaussian(-0.67225, 0.01167)","Gaussian(-0.83972, 0.02578)"
45,"Gaussian(0.13174, 0.01456)","Gaussian(-2.39753, 0.02579)","Gaussian(2.16967, 0.03166)","Gaussian(0.76984, 0.02284)","Gaussian(-2.08879, 0.02023)","Gaussian(-0.59841, 0.04338)"
46,"Gaussian(0.61282, 0.01097)","Gaussian(0.25561, 0.01174)","Gaussian(1.33813, 0.01731)","Gaussian(0.08851, 0.01334)","Gaussian(-1.86941, 0.01812)","Gaussian(-0.84395, 0.02652)"
47,"Gaussian(-0.24278, 0.01121)","Gaussian(-1.75887, 0.01596)","Gaussian(-0.64008, 0.01484)","Gaussian(0.40516, 0.01688)","Gaussian(-1.50234, 0.01482)","Gaussian(-2.10883, 0.02854)"
48,"Gaussian(0.47067, 0.01327)","Gaussian(0.20085, 0.01369)","Gaussian(-0.41480, 0.01605)","Gaussian(-1.95384, 0.01853)","Gaussian(-2.07098, 0.02176)","Gaussian(1.04701, 0.03181)"
49,"Gaussian(0.72263, 0.01270)","Gaussian(-0.57446, 0.01320)","Gaussian(2.21306, 0.02739)","Gaussian(0.55723, 0.01636)","Gaussian(-1.49869, 0.01584)","Gaussian(-1.14910, 0.03131)"
50,"Gaussian(0.37995, 0.01004)","Gaussian(-1.16793, 0.01114)","Gaussian(-1.04460, 0.01303)","Gaussian(-1.36163, 0.01465)","Gaussian(0.97109, 0.01160)","Gaussian(0.98444, 0.02308)"
51,"Gaussian(1.61069, 0.01279)","Gaussian(-0.67590, 0.01016)","Gaussian(-0.59179, 0.01115)","Gaussian(-0.51092, 0.01203)","Gaussian(0.56322, 0.01066)","Gaussian(-0.38453, 0.02159)"
52,"Gaussian(-1.69846, 0.01527)","Gaussian(1.04251, 0.01411)","Gaussian(-0.41195, 0.01417)","Gaussian(1.31088, 0.01584)","Gaussian(-0.25389, 0.01275)","Gaussian(0.71424, 0.02735)"
53,"Gaussian(1.09805, 0.01119)","Gaussian(1.31789, 0.01489)","Gaussian(1.51629, 0.01801)","Gaussian(0.38040, 0.01524)","Gaussian(-0.98145, 0.01691)","Gaussian(1.21601, 0.02971)"
54,"Gaussian(1.77026, 0.02133)","Gaussian(-2.17398, 0.02354)","Gaussian(-1.06941, 0.01824)","Gaussian(1.81316, 0.02315)","Gaussian(-1.11242, 0.02235)","Gaussian(-1.10475, 0.04182)"
55,"Gaussian(-0.23919, 0.00989)","Gaussian(0.07849, 0.01203)","Gaussian(-1.05928, 0.01273)","Gaussian(0.56816, 0.01305)","Gaussian(2.35501, 0.02012)","Gaussian(-0.19607, 0.02523)"
56,"Gaussian(-1.72890, 0.01565)","Gaussian(0.61840, 0.01371)","Gaussian(-2.32886, 0.02027)","Gaussian(-0.15550, 0.01622)","Gaussian(-0.02686, 0.01379)","Gaussian(0.09332, 0.03045)"
57,"Gaussian(-0.69169, 0.01264)","Gaussian(-2.63245, 0.02310)","Gaussian(0.49549, 0.01634)","Gaussian(1.13678, 0.01730)","Gaussian(0.28137, 0.01561)","Gaussian(1.31152, 0.03161)"
58,"Gaussian(0.89250, 0.01013)","Gaussian(0.14841, 0.01094)","Gaussian(0.18009, 0.01218)","Gaussian(-0.59789, 0.01275)","Gaussian(-1.78434, 0.01621)","Gaussian(1.26989, 0.02391)"
59,"Gaussian(1.30204, 0.01190)","Gaussian(0.06330, 0.01043)","Gaussian(1.77912, 0.02166)","Gaussian(1.01343, 0.01379)","Gaussian(0.14353, 0.01136)","Gaussian(0.06629, 0.02556)"
60,"Gaussian(-0.66517, 0.01190)","Gaussian(-0.06611, 0.01388)","Gaussian(1.04827, 0.01520)","Gaussian(-0.34613, 0.01463)","Gaussian(-2.07018, 0.01836)","Gaussian(2.67433, 0.02910)"
61,"Gaussian(1.47107, 0.01697)","Gaussian(-2.12743, 0.02059)","Gaussian(-0.53035, 0.01912)","Gaussian(0.39457, 0.01806)","Gaussian(0.47290, 0.01499)","Gaussian(-3.25667, 0.03549)"
62,"Gaussian(-2.38203, 0.02105)","Gaussian(0.98381, 0.01471)","Gaussian(-0.28419, 0.01711)","Gaussian(-1.38914, 0.01581)","Gaussian(-0.64310, 0.01356)","Gaussian(-0.31901, 0.03135)"
63,"Gaussian(2.06765, 0.01695)","Gaussian(-0.50522, 0.01149)","Gaussian(0.37323, 0.01447)","Gaussian(1.13234, 0.01397)","Gaussian(0.64021, 0.01301)","Gaussian(0.48077, 0.02638)"
64,Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(1.00000),Gaussian.PointMass(0.00000),"Gaussian(-0.37341, 0.01723)"
65,"Gaussian(0.51954, 0.01119)","Gaussian(0.09962, 0.01124)","Gaussian(0.68714, 0.01678)","Gaussian(-0.91853, 0.01724)","Gaussian(1.92730, 0.01875)","Gaussian(0.06314, 0.02700)"
66,"Gaussian(1.32475, 0.01072)","Gaussian(0.41543, 0.01144)","Gaussian(-0.28917, 0.01297)","Gaussian(1.39206, 0.01270)","Gaussian(0.88795, 0.01139)","Gaussian(-0.85189, 0.02321)"
67,"Gaussian(0.93547, 0.01366)","Gaussian(2.24102, 0.02220)","Gaussian(0.22737, 0.01721)","Gaussian(-0.09824, 0.01907)","Gaussian(-1.71170, 0.02288)","Gaussian(0.45314, 0.03631)"
68,"Gaussian(1.57440, 0.01408)","Gaussian(-0.34646, 0.01495)","Gaussian(-0.79397, 0.01441)","Gaussian(0.28299, 0.01419)","Gaussian(1.31168, 0.01418)","Gaussian(-2.30639, 0.02827)"
69,"Gaussian(-0.04672, 0.00979)","Gaussian(-2.05578, 0.01583)","Gaussian(-0.66019, 0.01211)","Gaussian(1.51880, 0.01597)","Gaussian(0.10352, 0.01233)","Gaussian(-0.61881, 0.02517)"
70,"Gaussian(2.01692, 0.01745)","Gaussian(-0.74082, 0.01104)","Gaussian(-0.22297, 0.01351)","Gaussian(-0.62396, 0.01393)","Gaussian(-1.22679, 0.01710)","Gaussian(0.51933, 0.02682)"
71,"Gaussian(-2.64203, 0.02358)","Gaussian(-0.12472, 0.01887)","Gaussian(0.83233, 0.02147)","Gaussian(-1.60402, 0.01908)","Gaussian(0.35275, 0.01839)","Gaussian(0.97433, 0.03955)"
72,"Gaussian(-0.62161, 0.01224)","Gaussian(-0.46659, 0.01212)","Gaussian(1.17303, 0.02079)","Gaussian(0.61212, 0.01473)","Gaussian(2.02779, 0.02145)","Gaussian(0.06619, 0.02904)"
73,"Gaussian(-1.62815, 0.01179)","Gaussian(-0.43062, 0.01102)","Gaussian(0.11033, 0.01399)","Gaussian(0.67277, 0.01472)","Gaussian(-1.32979, 0.01312)","Gaussian(-0.98215, 0.02470)"
74,"Gaussian(-0.87828, 0.01129)","Gaussian(-1.24573, 0.01253)","Gaussian(1.41455, 0.02053)","Gaussian(0.61616, 0.01435)","Gaussian(0.98233, 0.01458)","Gaussian(0.10921, 0.02713)"
75,"Gaussian(0.17492, 0.01318)","Gaussian(-1.57215, 0.01524)","Gaussian(0.89585, 0.01783)","Gaussian(-1.60542, 0.01850)","Gaussian(0.99660, 0.01631)","Gaussian(-0.41045, 0.03081)"
76,"Gaussian(0.66725, 0.01047)","Gaussian(1.26803, 0.01358)","Gaussian(-0.82100, 0.01342)","Gaussian(1.41273, 0.01458)","Gaussian(-0.25316, 0.01261)","Gaussian(-1.11993, 0.02533)"
77,"Gaussian(-0.77351, 0.01525)","Gaussian(2.03099, 0.02621)","Gaussian(-2.26502, 0.02049)","Gaussian(-0.70630, 0.01886)","Gaussian(0.93263, 0.01531)","Gaussian(1.39410, 0.03737)"
78,"Gaussian(-1.68987, 0.01610)","Gaussian(1.68831, 0.01503)","Gaussian(0.12884, 0.01493)","Gaussian(-0.17499, 0.01366)","Gaussian(-1.01003, 0.01314)","Gaussian(0.79384, 0.02844)"
79,"Gaussian(-1.49654, 0.01411)","Gaussian(-0.95148, 0.01315)","Gaussian(0.54181, 0.01676)","Gaussian(2.30138, 0.02281)","Gaussian(-0.07621, 0.01357)","Gaussian(-0.27798, 0.02998)"
80,"Gaussian(-0.09948, 0.01613)","Gaussian(1.68935, 0.02300)","Gaussian(-2.91317, 0.03412)","Gaussian(-1.74187, 0.02309)","Gaussian(-0.10265, 0.01649)","Gaussian(-0.16300, 0.04185)"
81,"Gaussian(-1.33193, 0.01129)","Gaussian(0.07514, 0.01164)","Gaussian(1.33401, 0.01682)","Gaussian(0.91669, 0.01348)","Gaussian(-0.87972, 0.01190)","Gaussian(0.68553, 0.02494)"
82,"Gaussian(2.28190, 0.02378)","Gaussian(-1.00060, 0.01875)","Gaussian(-1.06942, 0.01855)","Gaussian(1.97047, 0.02192)","Gaussian(-0.48434, 0.02015)","Gaussian(-0.55502, 0.03944)"
83,"Gaussian(0.13033, 0.01463)","Gaussian(-2.31598, 0.02098)","Gaussian(1.39929, 0.02517)","Gaussian(0.56989, 0.01813)","Gaussian(0.13810, 0.01389)","Gaussian(-2.23641, 0.03498)"
84,"Gaussian(0.97164, 0.01189)","Gaussian(0.04756, 0.01209)","Gaussian(-0.27166, 0.01460)","Gaussian(-2.48167, 0.02318)","Gaussian(-0.27957, 0.01304)","Gaussian(0.28980, 0.02764)"
85,"Gaussian(1.38448, 0.01079)","Gaussian(-0.79573, 0.01027)","Gaussian(-0.81939, 0.01180)","Gaussian(-0.31480, 0.01241)","Gaussian(0.78978, 0.01133)","Gaussian(1.18085, 0.02175)"
86,"Gaussian(0.11587, 0.01045)","Gaussian(-0.63199, 0.01056)","Gaussian(-2.14009, 0.01682)","Gaussian(-1.44627, 0.01433)","Gaussian(-0.11880, 0.01123)","Gaussian(0.98846, 0.02418)"
87,"Gaussian(1.94295, 0.01740)","Gaussian(-0.70289, 0.01621)","Gaussian(0.90891, 0.02393)","Gaussian(0.60022, 0.01729)","Gaussian(1.27548, 0.01560)","Gaussian(-2.75931, 0.03431)"
88,"Gaussian(-0.49415, 0.01473)","Gaussian(-0.58938, 0.01465)","Gaussian(1.93622, 0.02988)","Gaussian(-0.70904, 0.02162)","Gaussian(1.85573, 0.02258)","Gaussian(1.57047, 0.03713)"
89,"Gaussian(1.25220, 0.01330)","Gaussian(0.30351, 0.01150)","Gaussian(-0.05137, 0.01429)","Gaussian(-1.75550, 0.01639)","Gaussian(0.35516, 0.01241)","Gaussian(-1.77293, 0.02561)"
90,"Gaussian(0.99600, 0.00901)","Gaussian(0.18727, 0.01084)","Gaussian(-0.63707, 0.01199)","Gaussian(1.19676, 0.01134)","Gaussian(1.43054, 0.01142)","Gaussian(0.70731, 0.02139)"
91,"Gaussian(-0.96893, 0.01139)","Gaussian(0.21469, 0.01295)","Gaussian(-0.97280, 0.01439)","Gaussian(1.92499, 0.01942)","Gaussian(-0.86121, 0.01544)","Gaussian(0.81521, 0.02734)"
92,"Gaussian(-2.76550, 0.02541)","Gaussian(-0.76935, 0.01496)","Gaussian(-1.06484, 0.01807)","Gaussian(0.00392, 0.01687)","Gaussian(-0.05573, 0.01471)","Gaussian(0.09345, 0.03295)"
93,"Gaussian(-0.39936, 0.01068)","Gaussian(-1.54903, 0.01473)","Gaussian(-0.94539, 0.01348)","Gaussian(1.85356, 0.01888)","Gaussian(-0.24666, 0.01322)","Gaussian(-1.10865, 0.02690)"
94,"Gaussian(-0.50772, 0.01048)","Gaussian(1.33428, 0.01520)","Gaussian(-0.18801, 0.01473)","Gaussian(-1.13931, 0.01585)","Gaussian(1.63704, 0.01742)","Gaussian(-0.25056, 0.02777)"
95,"Gaussian(0.95806, 0.00945)","Gaussian(1.06113, 0.01397)","Gaussian(-1.12797, 0.01300)","Gaussian(0.84721, 0.01276)","Gaussian(1.24132, 0.01252)","Gaussian(0.02842, 0.02424)"
96,"Gaussian(-1.58457, 0.01327)","Gaussian(-0.00419, 0.01364)","Gaussian(-1.31209, 0.01650)","Gaussian(-1.51437, 0.01657)","Gaussian(1.31821, 0.01833)","Gaussian(-0.32117, 0.03002)"
97,Gaussian.PointMass(1.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),"Gaussian(-0.34112, 0.01799)"
98,"Gaussian(1.11142, 0.01352)","Gaussian(-1.39005, 0.01392)","Gaussian(0.16567, 0.01563)","Gaussian(-1.51723, 0.01631)","Gaussian(0.69383, 0.01313)","Gaussian(-0.89258, 0.02759)"
99,"Gaussian(-0.45196, 0.01142)","Gaussian(1.07752, 0.01471)","Gaussian(0.23034, 0.01624)","Gaussian(-2.30373, 0.02343)","Gaussian(0.60728, 0.01330)","Gaussian(0.52261, 0.02982)"
