user,Threshold_0,Threshold_1,Threshold_2,Threshold_3,Threshold_4,Threshold_5,Threshold_6,Trait_0,Trait_1,Trait_2,Trait_3,Trait_4,Bias
10,Gaussian.PointMass(-np.inf),"Gaussian(-2.84263, 0.11012)","Gaussian(-1.76348, 0.07983)",Gaussian.PointMass(0.00000),"Gaussian(1.18168, 0.06212)","Gaussian(3.76476, 0.08846)",Gaussian.PointMass(np.inf),"Gaussian(-2.25194, 0.02461)","Gaussian(2.03505, 0.02077)","Gaussian(-0.26442, 0.02160)","Gaussian(0.95647, 0.02003)","Gaussian(-0.23100, 0.01888)","Gaussian(0.42338, 0.02736)"
11,Gaussian.PointMass(-np.inf),"Gaussian(-2.94046, 0.07207)","Gaussian(-1.62560, 0.05790)",Gaussian.PointMass(0.00000),"Gaussian(1.47911, 0.07082)","Gaussian(2.10720, 0.08201)",Gaussian.PointMass(np.inf),"Gaussian(-1.14893, 0.01719)","Gaussian(0.67657, 0.01768)","Gaussian(-1.86539, 0.02382)","Gaussian(1.86594, 0.02213)","Gaussian(-1.70156, 0.02144)","Gaussian(-0.46670, 0.02677)"
12,Gaussian.PointMass(-np.inf),"Gaussian(-1.95110, 0.09194)","Gaussian(-2.08058, 0.06905)",Gaussian.PointMass(0.00000),"Gaussian(1.07661, 0.06438)","Gaussian(3.50913, 0.09380)",Gaussian.PointMass(np.inf),"Gaussian(-0.32013, 0.01589)","Gaussian(-1.75479, 0.02040)","Gaussian(1.76918, 0.02586)","Gaussian(-0.91168, 0.01998)","Gaussian(0.39191, 0.01785)","Gaussian(-0.33088, 0.02486)"
13,Gaussian.PointMass(-np.inf),"Gaussian(-2.60561, 0.07977)","Gaussian(-0.27887, 0.08511)",Gaussian.PointMass(0.00000),"Gaussian(1.26959, 0.07444)","Gaussian(2.81574, 0.08890)",Gaussian.PointMass(np.inf),"Gaussian(-2.13567, 0.02430)","Gaussian(-0.18252, 0.01794)","Gaussian(-1.66831, 0.02763)","Gaussian(0.21095, 0.02292)","Gaussian(-2.00275, 0.02497)","Gaussian(0.31369, 0.03012)"
14,Gaussian.PointMass(-np.inf),"Gaussian(-3.35632, 0.08724)","Gaussian(-1.91124, 0.06318)",Gaussian.PointMass(0.00000),"Gaussian(1.06260, 0.06431)","Gaussian(3.49365, 0.10335)",Gaussian.PointMass(np.inf),"Gaussian(0.13617, 0.01590)","Gaussian(1.14786, 0.01954)","Gaussian(1.02595, 0.01717)","Gaussian(-2.27633, 0.02595)","Gaussian(0.08632, 0.01847)","Gaussian(-0.61635, 0.02408)"
15,Gaussian.PointMass(-np.inf),"Gaussian(-2.99305, 0.09039)","Gaussian(-1.54022, 0.05077)",Gaussian.PointMass(0.00000),"Gaussian(1.32151, 0.06302)","Gaussian(2.59915, 0.07663)",Gaussian.PointMass(np.inf),"Gaussian(0.52837, 0.01532)","Gaussian(2.19177, 0.02352)","Gaussian(0.44017, 0.01761)","Gaussian(-0.10464, 0.01779)","Gaussian(1.49540, 0.01960)","Gaussian(-0.57483, 0.02354)"
16,Gaussian.PointMass(-np.inf),"Gaussian(-2.31059, 0.08564)","Gaussian(-1.79129, 0.07238)",Gaussian.PointMass(0.00000),"Gaussian(0.75672, 0.06516)","Gaussian(3.35555, 0.09934)",Gaussian.PointMass(np.inf),"Gaussian(1.49534, 0.01929)","Gaussian(0.63939, 0.02032)","Gaussian(1.43830, 0.02028)","Gaussian(-2.16009, 0.02837)","Gaussian(-0.56832, 0.02191)","Gaussian(0.25614, 0.02813)"
17,Gaussian.PointMass(-np.inf),"Gaussian(-3.23671, 0.10527)","Gaussian(-1.17007, 0.05924)",Gaussian.PointMass(0.00000),"Gaussian(1.34227, 0.04785)","Gaussian(2.92953, 0.07780)",Gaussian.PointMass(np.inf),"Gaussian(1.35033, 0.01652)","Gaussian(0.28739, 0.01494)","Gaussian(2.14596, 0.02691)","Gaussian(1.31334, 0.01793)","Gaussian(1.10385, 0.01769)","Gaussian(0.32634, 0.02336)"
18,Gaussian.PointMass(-np.inf),"Gaussian(-2.21608, 0.07637)","Gaussian(-0.12823, 0.08138)",Gaussian.PointMass(0.00000),"Gaussian(2.06808, 0.06715)","Gaussian(4.25312, 0.12568)",Gaussian.PointMass(np.inf),"Gaussian(-1.29819, 0.01715)","Gaussian(-2.18959, 0.02156)","Gaussian(0.79430, 0.02179)","Gaussian(-0.97602, 0.02053)","Gaussian(-1.02169, 0.02212)","Gaussian(-0.80794, 0.02720)"
19,Gaussian.PointMass(-np.inf),"Gaussian(-2.40448, 0.06442)","Gaussian(-1.37107, 0.06158)",Gaussian.PointMass(0.00000),"Gaussian(0.68579, 0.06104)","Gaussian(2.99075, 0.07758)",Gaussian.PointMass(np.inf),"Gaussian(0.29693, 0.01503)","Gaussian(-0.94966, 0.01615)","Gaussian(-1.35265, 0.02484)","Gaussian(-2.11993, 0.02439)","Gaussian(0.60402, 0.01803)","Gaussian(0.93033, 0.02446)"
20,Gaussian.PointMass(-np.inf),"Gaussian(-2.59451, 0.11748)","Gaussian(-1.71972, 0.10088)",Gaussian.PointMass(0.00000),"Gaussian(0.99642, 0.08188)","Gaussian(2.54426, 0.08521)",Gaussian.PointMass(np.inf),"Gaussian(-1.11372, 0.02276)","Gaussian(2.54197, 0.03074)","Gaussian(-0.10207, 0.02508)","Gaussian(-0.00115, 0.02519)","Gaussian(-2.26261, 0.03055)","Gaussian(-0.34315, 0.03549)"
21,Gaussian.PointMass(-np.inf),"Gaussian(-3.99701, 0.08687)","Gaussian(-1.31324, 0.07141)",Gaussian.PointMass(0.00000),"Gaussian(1.03617, 0.08137)","Gaussian(1.69948, 0.09243)",Gaussian.PointMass(np.inf),"Gaussian(2.29525, 0.01960)","Gaussian(0.07747, 0.01924)","Gaussian(0.01358, 0.02101)","Gaussian(-2.19279, 0.02931)","Gaussian(-0.31488, 0.02166)","Gaussian(0.54084, 0.02933)"
22,Gaussian.PointMass(-np.inf),"Gaussian(-3.02022, 0.09147)","Gaussian(-1.02878, 0.06724)",Gaussian.PointMass(0.00000),"Gaussian(1.44793, 0.07128)","Gaussian(3.04570, 0.09488)",Gaussian.PointMass(np.inf),"Gaussian(-0.19626, 0.01647)","Gaussian(2.25462, 0.02393)","Gaussian(-1.63908, 0.02908)","Gaussian(1.34278, 0.02021)","Gaussian(1.61720, 0.02468)","Gaussian(0.10682, 0.02814)"
23,Gaussian.PointMass(-np.inf),"Gaussian(-1.49967, 0.08975)","Gaussian(-0.89783, 0.08516)",Gaussian.PointMass(0.00000),"Gaussian(1.15906, 0.06532)","Gaussian(2.86639, 0.08399)",Gaussian.PointMass(np.inf),"Gaussian(-0.86376, 0.01873)","Gaussian(-1.09096, 0.02353)","Gaussian(2.11366, 0.02681)","Gaussian(-1.73661, 0.02991)","Gaussian(2.52297, 0.02995)","Gaussian(0.58984, 0.03292)"
24,Gaussian.PointMass(-np.inf),"Gaussian(-1.51780, 0.06964)","Gaussian(-0.90295, 0.06804)",Gaussian.PointMass(0.00000),"Gaussian(1.40220, 0.09238)","Gaussian(3.60398, 0.20680)",Gaussian.PointMass(np.inf),"Gaussian(0.69660, 0.02516)","Gaussian(-2.44263, 0.02512)","Gaussian(0.45822, 0.02885)","Gaussian(0.82133, 0.02794)","Gaussian(-0.01355, 0.02375)","Gaussian(-2.43217, 0.03432)"
25,Gaussian.PointMass(-np.inf),"Gaussian(-3.79365, 0.11586)","Gaussian(-0.78364, 0.06495)",Gaussian.PointMass(0.00000),"Gaussian(1.24860, 0.05993)","Gaussian(2.90222, 0.07590)",Gaussian.PointMass(np.inf),"Gaussian(-0.50398, 0.01695)","Gaussian(1.27695, 0.01757)","Gaussian(1.82518, 0.01979)","Gaussian(-0.43052, 0.01940)","Gaussian(-1.16835, 0.02028)","Gaussian(1.12071, 0.02520)"
26,Gaussian.PointMass(-np.inf),"Gaussian(-3.34306, 0.10789)","Gaussian(-1.23739, 0.07817)",Gaussian.PointMass(0.00000),"Gaussian(1.31030, 0.05906)","Gaussian(3.07187, 0.07444)",Gaussian.PointMass(np.inf),"Gaussian(-2.16608, 0.02039)","Gaussian(-1.56242, 0.01908)","Gaussian(1.29487, 0.02138)","Gaussian(-0.58297, 0.02101)","Gaussian(0.78581, 0.01992)","Gaussian(0.98302, 0.02623)"
27,Gaussian.PointMass(-np.inf),"Gaussian(-3.13165, 0.09932)","Gaussian(-1.67957, 0.07344)",Gaussian.PointMass(0.00000),"Gaussian(-0.11154, 0.07503)","Gaussian(2.18917, 0.08809)",Gaussian.PointMass(np.inf),"Gaussian(0.08999, 0.01779)","Gaussian(-0.21290, 0.01838)","Gaussian(-0.02868, 0.02005)","Gaussian(-0.06204, 0.01973)","Gaussian(-3.22006, 0.05458)","Gaussian(0.09939, 0.02902)"
28,Gaussian.PointMass(-np.inf),"Gaussian(-3.32282, 0.10366)","Gaussian(-0.89567, 0.08881)",Gaussian.PointMass(0.00000),"Gaussian(1.78678, 0.05790)","Gaussian(3.18377, 0.08179)",Gaussian.PointMass(np.inf),"Gaussian(-1.82520, 0.02202)","Gaussian(2.19495, 0.02319)","Gaussian(-0.63151, 0.02388)","Gaussian(0.11238, 0.01997)","Gaussian(0.58597, 0.01944)","Gaussian(0.41939, 0.02651)"
29,Gaussian.PointMass(-np.inf),"Gaussian(-3.62316, 0.12046)","Gaussian(-1.81270, 0.06963)",Gaussian.PointMass(0.00000),"Gaussian(0.51352, 0.06075)","Gaussian(2.97118, 0.07972)",Gaussian.PointMass(np.inf),"Gaussian(-2.08478, 0.02130)","Gaussian(0.48055, 0.01801)","Gaussian(-1.24676, 0.02746)","Gaussian(-0.76746, 0.02011)","Gaussian(0.94190, 0.01910)","Gaussian(0.42608, 0.02539)"
30,Gaussian.PointMass(-np.inf),"Gaussian(-2.46845, 0.09608)","Gaussian(-0.87887, 0.07236)",Gaussian.PointMass(0.00000),"Gaussian(1.17527, 0.07128)","Gaussian(2.06112, 0.09015)",Gaussian.PointMass(np.inf),"Gaussian(-1.48267, 0.02016)","Gaussian(-2.20479, 0.02498)","Gaussian(-0.37672, 0.02670)","Gaussian(-0.32946, 0.02417)","Gaussian(2.38739, 0.02960)","Gaussian(1.23372, 0.03286)"
31,Gaussian.PointMass(-np.inf),"Gaussian(-1.91807, 0.07347)","Gaussian(-0.94694, 0.06304)",Gaussian.PointMass(0.00000),"Gaussian(1.90939, 0.06659)","Gaussian(2.96439, 0.09043)",Gaussian.PointMass(np.inf),"Gaussian(-1.15629, 0.01820)","Gaussian(-2.08053, 0.02091)","Gaussian(0.13440, 0.02058)","Gaussian(-1.80093, 0.02162)","Gaussian(0.96458, 0.01922)","Gaussian(-0.69332, 0.02700)"
32,Gaussian.PointMass(-np.inf),"Gaussian(-3.34545, 0.10872)","Gaussian(-1.12639, 0.06591)",Gaussian.PointMass(0.00000),"Gaussian(1.01804, 0.05929)","Gaussian(3.38511, 0.07275)",Gaussian.PointMass(np.inf),"Gaussian(1.74800, 0.01789)","Gaussian(-1.39181, 0.01787)","Gaussian(1.77780, 0.02713)","Gaussian(0.66290, 0.01842)","Gaussian(0.36473, 0.01724)","Gaussian(0.73001, 0.02413)"
33,Gaussian.PointMass(-np.inf),"Gaussian(-1.99128, 0.12023)","Gaussian(-2.08612, 0.09328)",Gaussian.PointMass(0.00000),"Gaussian(0.68105, 0.07009)","Gaussian(2.55651, 0.07670)",Gaussian.PointMass(np.inf),"Gaussian(0.45852, 0.01879)","Gaussian(2.47975, 0.02866)","Gaussian(1.12208, 0.01926)","Gaussian(-0.22628, 0.02286)","Gaussian(-1.42193, 0.02534)","Gaussian(0.50455, 0.03075)"
34,Gaussian.PointMass(-np.inf),"Gaussian(-3.88526, 0.09863)","Gaussian(-0.14443, 0.06909)",Gaussian.PointMass(0.00000),"Gaussian(0.96315, 0.06484)","Gaussian(3.47982, 0.10718)",Gaussian.PointMass(np.inf),"Gaussian(1.85291, 0.02047)","Gaussian(-0.41495, 0.01736)","Gaussian(2.02512, 0.02773)","Gaussian(0.67303, 0.02280)","Gaussian(1.02307, 0.01932)","Gaussian(-0.49203, 0.02681)"
35,Gaussian.PointMass(-np.inf),"Gaussian(-2.90691, 0.14649)","Gaussian(-1.77107, 0.09866)",Gaussian.PointMass(0.00000),"Gaussian(0.97188, 0.05932)","Gaussian(2.42883, 0.06434)",Gaussian.PointMass(np.inf),"Gaussian(0.51331, 0.01846)","Gaussian(1.44766, 0.02066)","Gaussian(1.61512, 0.02619)","Gaussian(2.09651, 0.02194)","Gaussian(0.01829, 0.02276)","Gaussian(3.05710, 0.03138)"
36,Gaussian.PointMass(-np.inf),"Gaussian(-3.08082, 0.07766)","Gaussian(-0.41783, 0.07008)",Gaussian.PointMass(0.00000),"Gaussian(0.82034, 0.07542)","Gaussian(2.57830, 0.07699)",Gaussian.PointMass(np.inf),"Gaussian(-1.62111, 0.01797)","Gaussian(-0.99026, 0.01910)","Gaussian(0.96280, 0.02104)","Gaussian(-0.44172, 0.02133)","Gaussian(2.13526, 0.02473)","Gaussian(-0.61028, 0.02679)"
37,Gaussian.PointMass(-np.inf),"Gaussian(-2.84549, 0.12252)","Gaussian(-1.81357, 0.09152)",Gaussian.PointMass(0.00000),"Gaussian(1.33887, 0.06609)","Gaussian(3.10032, 0.07778)",Gaussian.PointMass(np.inf),"Gaussian(-3.36708, 0.03539)","Gaussian(-0.94753, 0.02068)","Gaussian(-0.32684, 0.02182)","Gaussian(-0.72392, 0.02272)","Gaussian(0.27288, 0.02029)","Gaussian(-0.36645, 0.02996)"
38,Gaussian.PointMass(-np.inf),"Gaussian(-3.36525, 0.09450)","Gaussian(-1.65155, 0.06683)",Gaussian.PointMass(0.00000),"Gaussian(0.89588, 0.07613)","Gaussian(3.19536, 0.08908)",Gaussian.PointMass(np.inf),"Gaussian(-0.44106, 0.01700)","Gaussian(-2.28286, 0.02130)","Gaussian(1.50324, 0.02525)","Gaussian(-0.81966, 0.02055)","Gaussian(-1.94101, 0.02759)","Gaussian(-0.29293, 0.02815)"
39,Gaussian.PointMass(-np.inf),"Gaussian(-1.78569, 0.05103)","Gaussian(-0.80231, 0.05598)",Gaussian.PointMass(0.00000),"Gaussian(0.97261, 0.09583)","Gaussian(3.54651, 0.16921)",Gaussian.PointMass(np.inf),"Gaussian(-0.07112, 0.01799)","Gaussian(0.38529, 0.01928)","Gaussian(-2.03743, 0.02636)","Gaussian(1.44682, 0.02407)","Gaussian(0.58507, 0.02640)","Gaussian(-1.81849, 0.02870)"
40,Gaussian.PointMass(-np.inf),"Gaussian(-2.92918, 0.21503)","Gaussian(-2.28271, 0.12078)",Gaussian.PointMass(0.00000),"Gaussian(1.70031, 0.05085)","Gaussian(2.45028, 0.05753)",Gaussian.PointMass(np.inf),"Gaussian(-0.01242, 0.01576)","Gaussian(0.27018, 0.01863)","Gaussian(0.50352, 0.01993)","Gaussian(-0.92675, 0.02210)","Gaussian(2.32173, 0.02726)","Gaussian(1.99121, 0.02679)"
41,Gaussian.PointMass(-np.inf),"Gaussian(-3.61874, 0.10081)","Gaussian(-1.99906, 0.06900)",Gaussian.PointMass(0.00000),"Gaussian(1.29074, 0.06889)","Gaussian(2.68465, 0.10336)",Gaussian.PointMass(np.inf),"Gaussian(1.54737, 0.01834)","Gaussian(1.42247, 0.02445)","Gaussian(-1.16968, 0.02622)","Gaussian(-1.89340, 0.02396)","Gaussian(0.33853, 0.02045)","Gaussian(-0.98576, 0.02775)"
42,Gaussian.PointMass(-np.inf),"Gaussian(-2.11045, 0.06261)","Gaussian(-1.17464, 0.06186)",Gaussian.PointMass(0.00000),"Gaussian(1.13546, 0.07283)","Gaussian(2.77548, 0.09326)",Gaussian.PointMass(np.inf),"Gaussian(-0.24031, 0.01772)","Gaussian(0.87269, 0.01802)","Gaussian(-1.60372, 0.02243)","Gaussian(2.66782, 0.03070)","Gaussian(-0.87685, 0.02266)","Gaussian(-1.24143, 0.02816)"
43,Gaussian.PointMass(-np.inf),"Gaussian(-1.80235, 0.07957)","Gaussian(-1.29832, 0.07543)",Gaussian.PointMass(0.00000),"Gaussian(1.29182, 0.07269)","Gaussian(3.12946, 0.11131)",Gaussian.PointMass(np.inf),"Gaussian(2.50453, 0.02840)","Gaussian(0.56970, 0.02078)","Gaussian(0.38588, 0.02569)","Gaussian(1.60842, 0.02671)","Gaussian(-1.12958, 0.02582)","Gaussian(-1.05168, 0.03185)"
44,Gaussian.PointMass(-np.inf),"Gaussian(-3.12726, 0.07203)","Gaussian(-0.98567, 0.05641)",Gaussian.PointMass(0.00000),"Gaussian(2.45300, 0.08520)","Gaussian(3.67087, 0.11808)",Gaussian.PointMass(np.inf),"Gaussian(-0.07333, 0.01692)","Gaussian(1.87279, 0.02181)","Gaussian(1.18677, 0.01714)","Gaussian(-1.17889, 0.02089)","Gaussian(-1.16145, 0.02040)","Gaussian(-0.65293, 0.02511)"
45,Gaussian.PointMass(-np.inf),"Gaussian(-2.17862, 0.18430)","Gaussian(-1.65096, 0.12224)",Gaussian.PointMass(0.00000),"Gaussian(2.08521, 0.05263)","Gaussian(4.25134, 0.08133)",Gaussian.PointMass(np.inf),"Gaussian(0.96964, 0.01851)","Gaussian(2.49478, 0.02922)","Gaussian(0.66038, 0.01936)","Gaussian(-1.08823, 0.02285)","Gaussian(1.02164, 0.02338)","Gaussian(1.05806, 0.02774)"
46,Gaussian.PointMass(-np.inf),"Gaussian(-1.85550, 0.07481)","Gaussian(-1.01721, 0.06638)",Gaussian.PointMass(0.00000),"Gaussian(1.00094, 0.08198)","Gaussian(2.69503, 0.10980)",Gaussian.PointMass(np.inf),"Gaussian(1.53153, 0.02481)","Gaussian(0.40237, 0.02108)","Gaussian(-1.66610, 0.02343)","Gaussian(0.25963, 0.02453)","Gaussian(-1.75317, 0.02901)","Gaussian(-1.48064, 0.03204)"
47,Gaussian.PointMass(-np.inf),"Gaussian(-2.79001, 0.08268)","Gaussian(-0.97023, 0.08421)",Gaussian.PointMass(0.00000),"Gaussian(2.38979, 0.06833)","Gaussian(3.21681, 0.09858)",Gaussian.PointMass(np.inf),"Gaussian(0.95929, 0.02008)","Gaussian(-2.11816, 0.02303)","Gaussian(1.68938, 0.03105)","Gaussian(1.13437, 0.02151)","Gaussian(-0.70630, 0.02085)","Gaussian(-0.17158, 0.02767)"
48,Gaussian.PointMass(-np.inf),"Gaussian(-2.55325, 0.11357)","Gaussian(-1.14921, 0.09321)",Gaussian.PointMass(0.00000),"Gaussian(0.57698, 0.07491)","Gaussian(3.64336, 0.08559)",Gaussian.PointMass(np.inf),"Gaussian(-1.38990, 0.02377)","Gaussian(2.12837, 0.02946)","Gaussian(-0.79518, 0.03321)","Gaussian(-1.28995, 0.02851)","Gaussian(-0.11768, 0.02179)","Gaussian(0.90568, 0.03124)"
49,Gaussian.PointMass(-np.inf),"Gaussian(-2.72509, 0.08872)","Gaussian(-1.72755, 0.07585)",Gaussian.PointMass(0.00000),"Gaussian(1.90828, 0.06523)","Gaussian(3.23791, 0.09211)",Gaussian.PointMass(np.inf),"Gaussian(0.65677, 0.01631)","Gaussian(2.78732, 0.03423)","Gaussian(-0.83571, 0.02300)","Gaussian(0.44257, 0.01921)","Gaussian(-0.02138, 0.01956)","Gaussian(0.30264, 0.02654)"
50,Gaussian.PointMass(-np.inf),"Gaussian(-3.47616, 0.06490)","Gaussian(-1.59196, 0.04851)",Gaussian.PointMass(0.00000),"Gaussian(1.78230, 0.09638)","Gaussian(3.28163, 0.14886)",Gaussian.PointMass(np.inf),"Gaussian(-0.16595, 0.01534)","Gaussian(-0.92659, 0.01714)","Gaussian(-2.72061, 0.03332)","Gaussian(-1.32081, 0.01860)","Gaussian(-0.17580, 0.01786)","Gaussian(-1.11496, 0.02466)"
51,Gaussian.PointMass(-np.inf),"Gaussian(-2.97760, 0.06326)","Gaussian(-1.02791, 0.05715)",Gaussian.PointMass(0.00000),"Gaussian(0.60870, 0.06566)","Gaussian(2.98163, 0.08166)",Gaussian.PointMass(np.inf),"Gaussian(1.06391, 0.01517)","Gaussian(1.73184, 0.01945)","Gaussian(-1.06933, 0.01942)","Gaussian(0.98212, 0.01778)","Gaussian(0.00607, 0.01731)","Gaussian(-0.04630, 0.02292)"
52,Gaussian.PointMass(-np.inf),"Gaussian(-2.38670, 0.10444)","Gaussian(-1.23164, 0.08612)",Gaussian.PointMass(0.00000),"Gaussian(1.88005, 0.07639)","Gaussian(2.84867, 0.10106)",Gaussian.PointMass(np.inf),"Gaussian(2.42015, 0.02605)","Gaussian(2.06093, 0.02893)","Gaussian(-1.49941, 0.03014)","Gaussian(0.44988, 0.02793)","Gaussian(-1.16533, 0.02563)","Gaussian(1.09097, 0.03433)"
53,Gaussian.PointMass(-np.inf),"Gaussian(-3.14230, 0.07676)","Gaussian(-1.77870, 0.06004)",Gaussian.PointMass(0.00000),"Gaussian(0.71604, 0.08429)","Gaussian(2.27138, 0.10749)",Gaussian.PointMass(np.inf),"Gaussian(2.22530, 0.02317)","Gaussian(0.31972, 0.01908)","Gaussian(-0.64499, 0.01867)","Gaussian(0.04029, 0.02104)","Gaussian(-2.11814, 0.03189)","Gaussian(-0.85250, 0.02870)"
54,Gaussian.PointMass(-np.inf),"Gaussian(-1.35290, 0.12603)","Gaussian(-1.33776, 0.10586)",Gaussian.PointMass(0.00000),"Gaussian(1.51143, 0.05580)","Gaussian(3.20473, 0.07016)",Gaussian.PointMass(np.inf),"Gaussian(1.08002, 0.01910)","Gaussian(0.99700, 0.01807)","Gaussian(1.21348, 0.02643)","Gaussian(1.65109, 0.02133)","Gaussian(2.25995, 0.02782)","Gaussian(1.44548, 0.02894)"
55,Gaussian.PointMass(-np.inf),"Gaussian(-2.09332, 0.13310)","Gaussian(-1.83088, 0.11242)",Gaussian.PointMass(0.00000),"Gaussian(1.48062, 0.07773)","Gaussian(1.86945, 0.09157)",Gaussian.PointMass(np.inf),"Gaussian(2.55103, 0.03221)","Gaussian(-0.61976, 0.02056)","Gaussian(0.48537, 0.02246)","Gaussian(-1.91791, 0.03351)","Gaussian(0.98464, 0.02293)","Gaussian(0.50735, 0.03574)"
56,Gaussian.PointMass(-np.inf),"Gaussian(-2.81708, 0.08625)","Gaussian(-1.80550, 0.06808)",Gaussian.PointMass(0.00000),"Gaussian(2.08295, 0.07761)","Gaussian(3.32117, 0.11218)",Gaussian.PointMass(np.inf),"Gaussian(-2.73164, 0.02502)","Gaussian(0.69846, 0.01912)","Gaussian(0.25755, 0.01869)","Gaussian(-0.67839, 0.02134)","Gaussian(-1.34500, 0.02101)","Gaussian(-1.54745, 0.02815)"
