item,Trait_0,Trait_1,Trait_2,Trait_3,Trait_4,Bias
23,"Gaussian(0.08142, 0.01258)","Gaussian(0.97764, 0.01590)","Gaussian(-0.04432, 0.01590)","Gaussian(-2.23892, 0.02422)","Gaussian(-1.18975, 0.01527)","Gaussian(-1.03856, 0.03014)"
24,"Gaussian(1.54915, 0.01651)","Gaussian(0.64669, 0.01510)","Gaussian(0.52376, 0.01788)","Gaussian(-1.11975, 0.01903)","Gaussian(1.94523, 0.02172)","Gaussian(0.47570, 0.03402)"
25,"Gaussian(1.48430, 0.01227)","Gaussian(-0.22128, 0.00986)","Gaussian(-0.33660, 0.01204)","Gaussian(0.33538, 0.00973)","Gaussian(-1.29688, 0.01279)","Gaussian(-0.25942, 0.02162)"
26,"Gaussian(-1.10624, 0.01515)","Gaussian(0.37953, 0.01388)","Gaussian(0.49645, 0.01613)","Gaussian(-1.81862, 0.01622)","Gaussian(-0.51160, 0.01370)","Gaussian(1.96778, 0.02848)"
27,"Gaussian(-0.00832, 0.01244)","Gaussian(0.92337, 0.01293)","Gaussian(0.33337, 0.01833)","Gaussian(2.38289, 0.02305)","Gaussian(-0.26562, 0.01533)","Gaussian(-1.70260, 0.03078)"
28,Gaussian.PointMass(1.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),"Gaussian(0.17147, 0.01770)"
29,"Gaussian(1.91275, 0.01603)","Gaussian(-0.48406, 0.01200)","Gaussian(-0.37799, 0.01333)","Gaussian(-0.58242, 0.01261)","Gaussian(-1.50800, 0.01509)","Gaussian(-1.03934, 0.02629)"
30,"Gaussian(-1.97251, 0.01657)","Gaussian(-1.37877, 0.01325)","Gaussian(0.31272, 0.01340)","Gaussian(-0.80589, 0.01134)","Gaussian(0.06475, 0.01279)","Gaussian(-0.03845, 0.02550)"
31,"Gaussian(0.21513, 0.01802)","Gaussian(3.11677, 0.04832)","Gaussian(0.26039, 0.01976)","Gaussian(-1.18219, 0.02161)","Gaussian(-0.38025, 0.01678)","Gaussian(-0.74920, 0.04162)"
32,"Gaussian(1.50780, 0.01412)","Gaussian(-1.71019, 0.01457)","Gaussian(0.28179, 0.01510)","Gaussian(0.66352, 0.01357)","Gaussian(1.12478, 0.01554)","Gaussian(0.62424, 0.02758)"
33,"Gaussian(1.55121, 0.01689)","Gaussian(-1.32789, 0.01660)","Gaussian(1.23236, 0.02236)","Gaussian(0.09830, 0.01816)","Gaussian(0.67527, 0.01707)","Gaussian(-2.86149, 0.03510)"
34,"Gaussian(0.90719, 0.01318)","Gaussian(0.66284, 0.01269)","Gaussian(-1.46275, 0.01726)","Gaussian(0.52125, 0.01270)","Gaussian(1.49930, 0.01923)","Gaussian(1.67791, 0.02809)"
35,"Gaussian(-0.51428, 0.01615)","Gaussian(1.09888, 0.01439)","Gaussian(-0.92681, 0.01831)","Gaussian(1.52570, 0.01828)","Gaussian(-2.61073, 0.02892)","Gaussian(0.36174, 0.03554)"
36,"Gaussian(-0.19946, 0.01403)","Gaussian(1.68903, 0.01918)","Gaussian(0.81480, 0.01724)","Gaussian(-0.65207, 0.01469)","Gaussian(1.58441, 0.01722)","Gaussian(0.47941, 0.03127)"
37,"Gaussian(-1.12212, 0.01492)","Gaussian(-1.41098, 0.01383)","Gaussian(1.00992, 0.01816)","Gaussian(-1.61461, 0.01539)","Gaussian(-0.78166, 0.01525)","Gaussian(-1.11792, 0.02943)"
38,"Gaussian(1.64280, 0.02027)","Gaussian(2.15215, 0.02731)","Gaussian(0.06727, 0.01777)","Gaussian(-0.34984, 0.01981)","Gaussian(-0.01960, 0.02200)","Gaussian(3.41908, 0.04074)"
39,"Gaussian(-1.02790, 0.01544)","Gaussian(0.82376, 0.01316)","Gaussian(-2.70263, 0.02922)","Gaussian(0.67620, 0.01918)","Gaussian(-0.34529, 0.01681)","Gaussian(0.14698, 0.03352)"
40,"Gaussian(0.15079, 0.01180)","Gaussian(0.28246, 0.01050)","Gaussian(-1.71107, 0.01824)","Gaussian(1.30646, 0.01529)","Gaussian(0.69045, 0.01492)","Gaussian(0.22133, 0.02585)"
41,"Gaussian(0.08000, 0.01678)","Gaussian(-1.02511, 0.01433)","Gaussian(-2.36252, 0.02426)","Gaussian(-0.29927, 0.01515)","Gaussian(1.95241, 0.02455)","Gaussian(-0.83975, 0.03517)"
42,"Gaussian(1.50883, 0.01622)","Gaussian(1.08257, 0.01351)","Gaussian(0.22702, 0.01553)","Gaussian(-1.05042, 0.01690)","Gaussian(1.25408, 0.01611)","Gaussian(-0.68578, 0.02958)"
43,"Gaussian(0.66074, 0.01463)","Gaussian(0.61264, 0.01219)","Gaussian(-1.30301, 0.01619)","Gaussian(0.95278, 0.01350)","Gaussian(1.57026, 0.01851)","Gaussian(-0.81163, 0.02794)"
44,"Gaussian(0.76563, 0.01270)","Gaussian(0.03848, 0.01084)","Gaussian(-2.29689, 0.02491)","Gaussian(0.76268, 0.01311)","Gaussian(-0.49321, 0.01394)","Gaussian(0.81040, 0.02689)"
45,"Gaussian(-0.69388, 0.01292)","Gaussian(-1.86232, 0.01556)","Gaussian(-1.47220, 0.02014)","Gaussian(0.53669, 0.01530)","Gaussian(-0.47244, 0.01414)","Gaussian(1.01254, 0.02913)"
46,"Gaussian(0.56372, 0.01482)","Gaussian(1.11445, 0.01329)","Gaussian(-2.20203, 0.01838)","Gaussian(0.16265, 0.01333)","Gaussian(0.36816, 0.01511)","Gaussian(-1.64506, 0.02813)"
47,"Gaussian(1.21069, 0.01552)","Gaussian(-0.23510, 0.01422)","Gaussian(-0.27031, 0.01839)","Gaussian(2.38073, 0.02152)","Gaussian(0.22621, 0.01546)","Gaussian(-2.09065, 0.03223)"
48,"Gaussian(-0.02822, 0.01129)","Gaussian(-0.23554, 0.01132)","Gaussian(-0.63917, 0.01346)","Gaussian(-2.02523, 0.01741)","Gaussian(0.36126, 0.01284)","Gaussian(-0.85605, 0.02437)"
49,"Gaussian(-1.04405, 0.01832)","Gaussian(0.47947, 0.01418)","Gaussian(-3.00592, 0.03896)","Gaussian(1.11850, 0.02159)","Gaussian(-0.61697, 0.01925)","Gaussian(0.58248, 0.03907)"
50,"Gaussian(1.20058, 0.01304)","Gaussian(0.38852, 0.01119)","Gaussian(0.36099, 0.01368)","Gaussian(1.76203, 0.01343)","Gaussian(-0.44729, 0.01227)","Gaussian(-0.87703, 0.02482)"
51,"Gaussian(-2.87822, 0.03139)","Gaussian(-0.77539, 0.01633)","Gaussian(-0.68934, 0.01976)","Gaussian(0.00131, 0.01590)","Gaussian(0.74957, 0.01838)","Gaussian(0.90359, 0.03639)"
52,"Gaussian(1.41173, 0.01399)","Gaussian(1.14333, 0.01409)","Gaussian(-0.19998, 0.01367)","Gaussian(-0.06419, 0.01185)","Gaussian(-0.98814, 0.01355)","Gaussian(-2.38274, 0.02619)"
53,"Gaussian(-3.02575, 0.02999)","Gaussian(0.28631, 0.01489)","Gaussian(0.05752, 0.01869)","Gaussian(-0.30103, 0.01401)","Gaussian(-1.63102, 0.02160)","Gaussian(-0.22893, 0.03566)"
54,"Gaussian(0.81997, 0.01335)","Gaussian(-0.86632, 0.01348)","Gaussian(1.83692, 0.01951)","Gaussian(2.01631, 0.01669)","Gaussian(-0.63264, 0.01623)","Gaussian(-1.09575, 0.03124)"
55,"Gaussian(0.38189, 0.01144)","Gaussian(0.26371, 0.01179)","Gaussian(0.27711, 0.01410)","Gaussian(-2.18948, 0.02182)","Gaussian(0.00040, 0.01351)","Gaussian(-0.75692, 0.02576)"
56,"Gaussian(-0.13944, 0.01162)","Gaussian(-1.23514, 0.01194)","Gaussian(1.86948, 0.01573)","Gaussian(-0.22418, 0.01219)","Gaussian(-0.83218, 0.01407)","Gaussian(0.98931, 0.02440)"
57,"Gaussian(-0.67810, 0.01271)","Gaussian(-1.72601, 0.01426)","Gaussian(-1.17869, 0.01607)","Gaussian(-1.56515, 0.01262)","Gaussian(0.17201, 0.01327)","Gaussian(-0.39794, 0.02705)"
58,"Gaussian(-0.90754, 0.01993)","Gaussian(1.31247, 0.02191)","Gaussian(-1.25890, 0.02695)","Gaussian(-2.01731, 0.02058)","Gaussian(0.03792, 0.02058)","Gaussian(3.53608, 0.04365)"
59,"Gaussian(-0.52738, 0.01403)","Gaussian(-2.15712, 0.02069)","Gaussian(-1.28854, 0.01734)","Gaussian(0.12833, 0.01376)","Gaussian(0.41629, 0.01494)","Gaussian(-0.66592, 0.03085)"
60,"Gaussian(0.22621, 0.01271)","Gaussian(-0.30528, 0.01271)","Gaussian(0.48826, 0.01495)","Gaussian(-0.06920, 0.01288)","Gaussian(-2.44144, 0.02063)","Gaussian(2.36012, 0.02754)"
61,"Gaussian(-2.55880, 0.02354)","Gaussian(0.68402, 0.01453)","Gaussian(0.14613, 0.01533)","Gaussian(0.23891, 0.01456)","Gaussian(-0.24612, 0.01515)","Gaussian(1.34194, 0.03034)"
62,"Gaussian(1.76726, 0.01835)","Gaussian(0.47060, 0.01309)","Gaussian(1.22800, 0.01855)","Gaussian(0.29820, 0.01403)","Gaussian(1.58698, 0.01920)","Gaussian(-0.37885, 0.03170)"
63,"Gaussian(-1.79995, 0.01759)","Gaussian(0.58631, 0.01216)","Gaussian(-0.96582, 0.01584)","Gaussian(1.18817, 0.01612)","Gaussian(-0.82889, 0.01479)","Gaussian(1.03191, 0.02884)"
64,"Gaussian(0.93957, 0.01348)","Gaussian(1.00759, 0.01387)","Gaussian(-0.21655, 0.01602)","Gaussian(-0.07962, 0.01328)","Gaussian(1.89578, 0.02476)","Gaussian(0.67410, 0.02909)"
65,"Gaussian(-0.24149, 0.01543)","Gaussian(-2.46799, 0.02337)","Gaussian(0.45204, 0.01622)","Gaussian(0.15408, 0.01518)","Gaussian(1.46924, 0.01946)","Gaussian(-0.91152, 0.03329)"
66,"Gaussian(-0.84684, 0.01155)","Gaussian(1.55915, 0.01253)","Gaussian(0.04535, 0.01343)","Gaussian(1.05709, 0.01182)","Gaussian(-0.79725, 0.01391)","Gaussian(-0.52432, 0.02445)"
67,"Gaussian(-0.88267, 0.01422)","Gaussian(1.06702, 0.01380)","Gaussian(-2.21615, 0.01956)","Gaussian(-0.20546, 0.01489)","Gaussian(0.73273, 0.01713)","Gaussian(-1.94146, 0.02992)"
68,"Gaussian(-0.52974, 0.01417)","Gaussian(1.18944, 0.01270)","Gaussian(0.48774, 0.01799)","Gaussian(2.15132, 0.01834)","Gaussian(1.82522, 0.01889)","Gaussian(-0.12940, 0.03235)"
69,"Gaussian(-0.44933, 0.01259)","Gaussian(-0.01152, 0.01179)","Gaussian(0.07170, 0.01557)","Gaussian(-2.00719, 0.01932)","Gaussian(1.36033, 0.01622)","Gaussian(-0.23075, 0.02747)"
70,"Gaussian(1.38538, 0.01181)","Gaussian(-1.63769, 0.01289)","Gaussian(-0.56899, 0.01323)","Gaussian(-0.69679, 0.01153)","Gaussian(-0.53693, 0.01358)","Gaussian(0.36178, 0.02436)"
71,"Gaussian(-0.62415, 0.01344)","Gaussian(0.72204, 0.01177)","Gaussian(-0.37961, 0.01678)","Gaussian(0.68338, 0.01388)","Gaussian(-2.58723, 0.02650)","Gaussian(-1.49648, 0.02910)"
72,"Gaussian(-0.63642, 0.01363)","Gaussian(-0.29279, 0.01191)","Gaussian(0.57105, 0.01448)","Gaussian(1.05286, 0.01432)","Gaussian(-2.18809, 0.02259)","Gaussian(0.75806, 0.02762)"
73,"Gaussian(-1.49421, 0.01775)","Gaussian(-0.45001, 0.01135)","Gaussian(-1.25007, 0.01552)","Gaussian(-0.89736, 0.01289)","Gaussian(-1.97868, 0.01946)","Gaussian(-0.00134, 0.02873)"
74,"Gaussian(0.71893, 0.01353)","Gaussian(2.07515, 0.02014)","Gaussian(-1.11890, 0.01632)","Gaussian(0.76093, 0.01334)","Gaussian(-0.05832, 0.01335)","Gaussian(0.84660, 0.02848)"
75,"Gaussian(3.28553, 0.03312)","Gaussian(1.26131, 0.02054)","Gaussian(-0.55231, 0.02058)","Gaussian(0.34056, 0.01462)","Gaussian(0.46377, 0.02221)","Gaussian(0.67132, 0.04057)"
76,"Gaussian(-1.42918, 0.01491)","Gaussian(0.08245, 0.01335)","Gaussian(1.35456, 0.01503)","Gaussian(1.84802, 0.01616)","Gaussian(0.37048, 0.01497)","Gaussian(0.91225, 0.02855)"
77,"Gaussian(0.39511, 0.01505)","Gaussian(-2.39011, 0.02222)","Gaussian(2.08938, 0.02176)","Gaussian(0.57240, 0.01595)","Gaussian(0.41447, 0.01892)","Gaussian(-0.96487, 0.03591)"
78,"Gaussian(-0.29038, 0.01440)","Gaussian(0.82166, 0.01362)","Gaussian(-1.34856, 0.02007)","Gaussian(2.51473, 0.02837)","Gaussian(-1.20946, 0.01773)","Gaussian(-0.06881, 0.03379)"
79,"Gaussian(-1.23922, 0.01789)","Gaussian(-0.52038, 0.01162)","Gaussian(-2.13007, 0.02517)","Gaussian(0.13959, 0.01544)","Gaussian(-1.47608, 0.01718)","Gaussian(1.21142, 0.03187)"
80,"Gaussian(0.54743, 0.01361)","Gaussian(0.87826, 0.01415)","Gaussian(1.95171, 0.01861)","Gaussian(2.14296, 0.01566)","Gaussian(0.16363, 0.01460)","Gaussian(0.26432, 0.03084)"
81,"Gaussian(0.52320, 0.01208)","Gaussian(1.59888, 0.01509)","Gaussian(-1.23416, 0.01811)","Gaussian(1.25220, 0.01442)","Gaussian(0.38309, 0.01469)","Gaussian(1.69881, 0.02813)"
82,"Gaussian(1.02097, 0.01215)","Gaussian(-0.37414, 0.01076)","Gaussian(-0.92552, 0.01549)","Gaussian(0.14731, 0.01187)","Gaussian(1.99850, 0.02434)","Gaussian(0.99577, 0.02632)"
83,"Gaussian(0.51549, 0.01235)","Gaussian(0.52821, 0.01395)","Gaussian(0.48411, 0.01438)","Gaussian(-1.60674, 0.01628)","Gaussian(-1.92373, 0.01724)","Gaussian(1.15777, 0.02807)"
84,Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(1.00000),"Gaussian(0.06487, 0.01748)"
85,"Gaussian(-1.20795, 0.01391)","Gaussian(1.59741, 0.01553)","Gaussian(-1.54730, 0.01971)","Gaussian(0.11296, 0.01605)","Gaussian(0.05707, 0.01515)","Gaussian(1.21220, 0.03015)"
86,"Gaussian(0.07936, 0.01470)","Gaussian(1.06010, 0.01428)","Gaussian(0.42505, 0.01909)","Gaussian(-1.96410, 0.02317)","Gaussian(1.76989, 0.02037)","Gaussian(-0.46472, 0.03371)"
87,"Gaussian(-0.70777, 0.01594)","Gaussian(-2.64217, 0.02527)","Gaussian(-0.59860, 0.01816)","Gaussian(1.09405, 0.01827)","Gaussian(0.87141, 0.01688)","Gaussian(0.37321, 0.03624)"
88,"Gaussian(-1.70838, 0.01937)","Gaussian(-1.46313, 0.01581)","Gaussian(0.33077, 0.01581)","Gaussian(-1.01207, 0.01438)","Gaussian(-2.02880, 0.02269)","Gaussian(-0.42376, 0.03288)"
89,"Gaussian(1.37470, 0.01564)","Gaussian(1.54626, 0.01517)","Gaussian(0.02784, 0.01596)","Gaussian(1.60277, 0.01347)","Gaussian(-0.16782, 0.01340)","Gaussian(1.13960, 0.02875)"
90,"Gaussian(-3.14206, 0.03494)","Gaussian(0.35998, 0.01691)","Gaussian(0.51337, 0.02027)","Gaussian(0.40400, 0.01885)","Gaussian(-1.36520, 0.02290)","Gaussian(1.03878, 0.04031)"
91,"Gaussian(0.54300, 0.01211)","Gaussian(-1.11671, 0.01346)","Gaussian(2.05927, 0.01790)","Gaussian(1.06410, 0.01291)","Gaussian(-1.30994, 0.01751)","Gaussian(0.23328, 0.02789)"
92,Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(1.00000),Gaussian.PointMass(0.00000),"Gaussian(0.20272, 0.01810)"
93,"Gaussian(-0.85067, 0.01382)","Gaussian(-1.90911, 0.01770)","Gaussian(-0.33033, 0.01372)","Gaussian(-0.77875, 0.01262)","Gaussian(-0.01328, 0.01405)","Gaussian(-1.85498, 0.02778)"
94,"Gaussian(1.22900, 0.01478)","Gaussian(-2.27975, 0.01959)","Gaussian(-0.09957, 0.01726)","Gaussian(1.51568, 0.01683)","Gaussian(0.01464, 0.01504)","Gaussian(-0.38312, 0.03161)"
95,"Gaussian(-0.41858, 0.01668)","Gaussian(-1.34831, 0.01763)","Gaussian(-1.23664, 0.02306)","Gaussian(2.14844, 0.03419)","Gaussian(-1.19086, 0.01901)","Gaussian(-1.14872, 0.03823)"
96,"Gaussian(-2.23633, 0.01749)","Gaussian(0.28196, 0.01018)","Gaussian(-0.05924, 0.01349)","Gaussian(-0.12390, 0.01082)","Gaussian(0.61996, 0.01336)","Gaussian(-0.58712, 0.02421)"
97,"Gaussian(-0.52487, 0.01353)","Gaussian(0.75598, 0.01236)","Gaussian(-2.23068, 0.01817)","Gaussian(-0.73634, 0.01371)","Gaussian(-0.62468, 0.01453)","Gaussian(-1.32103, 0.02707)"
98,"Gaussian(0.69994, 0.01408)","Gaussian(1.18878, 0.01681)","Gaussian(-1.93532, 0.02019)","Gaussian(-0.54078, 0.01556)","Gaussian(1.27761, 0.01975)","Gaussian(1.74179, 0.03262)"
99,"Gaussian(0.55010, 0.01326)","Gaussian(-0.48702, 0.01237)","Gaussian(-1.74041, 0.02157)","Gaussian(2.04766, 0.02315)","Gaussian(-0.61876, 0.01474)","Gaussian(-0.23278, 0.02988)"
