item,Trait_0,Trait_1,Trait_2,Trait_3,Trait_4,Bias
17,"Gaussian(-1.45542, 0.02455)","Gaussian(-1.58442, 0.02202)","Gaussian(-0.56292, 0.02250)","Gaussian(0.19719, 0.02048)","Gaussian(-0.89969, 0.02539)","Gaussian(-0.53937, 0.03860)"
18,"Gaussian(-0.61717, 0.02551)","Gaussian(-1.74102, 0.02165)","Gaussian(-0.05960, 0.02584)","Gaussian(-1.75333, 0.02941)","Gaussian(1.25677, 0.02592)","Gaussian(-1.42583, 0.04471)"
19,"Gaussian(-1.63517, 0.03106)","Gaussian(-1.61858, 0.01914)","Gaussian(0.05284, 0.02004)","Gaussian(-0.23055, 0.01941)","Gaussian(-1.09911, 0.02619)","Gaussian(1.34748, 0.03808)"
20,"Gaussian(1.70886, 0.01865)","Gaussian(-1.03942, 0.01657)","Gaussian(0.08016, 0.02515)","Gaussian(-0.13082, 0.02058)","Gaussian(1.32789, 0.02501)","Gaussian(0.90437, 0.03596)"
21,"Gaussian(-2.04049, 0.04252)","Gaussian(-1.77159, 0.01987)","Gaussian(0.26954, 0.02195)","Gaussian(-0.37043, 0.02220)","Gaussian(-0.02067, 0.03025)","Gaussian(0.57395, 0.04482)"
22,"Gaussian(0.50688, 0.02389)","Gaussian(2.38740, 0.05530)","Gaussian(0.39919, 0.03070)","Gaussian(0.10257, 0.02448)","Gaussian(-1.01572, 0.03403)","Gaussian(-0.97614, 0.05317)"
23,"Gaussian(0.35683, 0.01556)","Gaussian(-2.61796, 0.02843)","Gaussian(0.69041, 0.02370)","Gaussian(-0.64939, 0.02069)","Gaussian(-0.31293, 0.02244)","Gaussian(-0.96134, 0.03616)"
24,"Gaussian(-0.90534, 0.02478)","Gaussian(-1.76509, 0.02821)","Gaussian(-1.20229, 0.03069)","Gaussian(1.43240, 0.03464)","Gaussian(1.26484, 0.03221)","Gaussian(0.39452, 0.05051)"
25,"Gaussian(-0.86153, 0.01503)","Gaussian(-0.29413, 0.01343)","Gaussian(0.09254, 0.01605)","Gaussian(-0.09462, 0.01764)","Gaussian(-1.50754, 0.02388)","Gaussian(-0.23230, 0.02905)"
26,"Gaussian(1.47574, 0.02844)","Gaussian(-1.73232, 0.02526)","Gaussian(0.04423, 0.02628)","Gaussian(-0.59492, 0.02296)","Gaussian(0.35843, 0.03864)","Gaussian(2.03930, 0.04873)"
27,"Gaussian(-1.09096, 0.02040)","Gaussian(1.39714, 0.02693)","Gaussian(-0.70691, 0.02607)","Gaussian(-1.48494, 0.02441)","Gaussian(0.54940, 0.03151)","Gaussian(-1.61676, 0.04473)"
28,"Gaussian(-1.03645, 0.02099)","Gaussian(-1.28276, 0.01691)","Gaussian(0.01130, 0.01894)","Gaussian(1.07755, 0.02318)","Gaussian(-1.77518, 0.02744)","Gaussian(0.34376, 0.03756)"
29,"Gaussian(-0.90681, 0.01882)","Gaussian(-1.02638, 0.01579)","Gaussian(0.29632, 0.01639)","Gaussian(0.34073, 0.02178)","Gaussian(-2.24189, 0.03129)","Gaussian(-0.89766, 0.03466)"
30,"Gaussian(2.47654, 0.02703)","Gaussian(0.20025, 0.01640)","Gaussian(-0.42219, 0.01985)","Gaussian(0.14028, 0.01735)","Gaussian(0.47971, 0.02040)","Gaussian(-0.03319, 0.03381)"
31,"Gaussian(-0.97026, 0.03436)","Gaussian(-2.31199, 0.02624)","Gaussian(0.64140, 0.02573)","Gaussian(-1.47903, 0.02341)","Gaussian(1.34428, 0.02917)","Gaussian(-0.56776, 0.04824)"
32,"Gaussian(-0.45565, 0.02170)","Gaussian(0.61046, 0.02208)","Gaussian(-1.58853, 0.02559)","Gaussian(1.72655, 0.03104)","Gaussian(-0.85695, 0.02405)","Gaussian(0.43924, 0.04286)"
33,"Gaussian(-0.38115, 0.02394)","Gaussian(-0.34650, 0.02190)","Gaussian(-2.21999, 0.03468)","Gaussian(0.98005, 0.02771)","Gaussian(-0.78413, 0.02648)","Gaussian(-2.72965, 0.04571)"
34,"Gaussian(-1.25708, 0.02256)","Gaussian(0.35883, 0.01582)","Gaussian(0.49384, 0.01959)","Gaussian(1.24274, 0.02498)","Gaussian(0.95832, 0.02546)","Gaussian(1.53339, 0.03708)"
35,"Gaussian(-0.70788, 0.02188)","Gaussian(0.90353, 0.02556)","Gaussian(1.52273, 0.02871)","Gaussian(-2.48608, 0.03950)","Gaussian(-0.98221, 0.03428)","Gaussian(0.27754, 0.05188)"
36,"Gaussian(-0.19347, 0.01868)","Gaussian(-1.17669, 0.02266)","Gaussian(-0.84522, 0.02598)","Gaussian(-0.12031, 0.02928)","Gaussian(2.45265, 0.05160)","Gaussian(0.49919, 0.04720)"
37,"Gaussian(2.27321, 0.02630)","Gaussian(-1.07531, 0.01764)","Gaussian(-0.97173, 0.03025)","Gaussian(-0.21305, 0.02181)","Gaussian(-0.67330, 0.02743)","Gaussian(-1.02393, 0.03986)"
38,"Gaussian(-1.85429, 0.02761)","Gaussian(-1.70858, 0.02918)","Gaussian(0.16566, 0.02815)","Gaussian(-0.46515, 0.03010)","Gaussian(0.38164, 0.04332)","Gaussian(3.19120, 0.05540)"
39,"Gaussian(0.04930, 0.01835)","Gaussian(1.42346, 0.02609)","Gaussian(2.38550, 0.03598)","Gaussian(-0.04238, 0.02597)","Gaussian(0.73542, 0.03715)","Gaussian(0.02523, 0.04689)"
40,"Gaussian(-0.76321, 0.01743)","Gaussian(1.39368, 0.01908)","Gaussian(0.84001, 0.02067)","Gaussian(0.52963, 0.02175)","Gaussian(0.52830, 0.02404)","Gaussian(0.16412, 0.03505)"
41,"Gaussian(0.47682, 0.02410)","Gaussian(0.83451, 0.02121)","Gaussian(0.78381, 0.02559)","Gaussian(2.62825, 0.04003)","Gaussian(0.65300, 0.03245)","Gaussian(-0.90652, 0.04915)"
42,"Gaussian(-1.16683, 0.02941)","Gaussian(-1.88306, 0.03051)","Gaussian(-0.59859, 0.02326)","Gaussian(0.92852, 0.02591)","Gaussian(0.84984, 0.02393)","Gaussian(-0.74802, 0.04421)"
43,"Gaussian(-1.12353, 0.02080)","Gaussian(0.92192, 0.01833)","Gaussian(0.34760, 0.02010)","Gaussian(1.10184, 0.02146)","Gaussian(1.11190, 0.02456)","Gaussian(-0.81050, 0.03591)"
44,"Gaussian(-0.97320, 0.02044)","Gaussian(0.89114, 0.02153)","Gaussian(1.58611, 0.02553)","Gaussian(0.70412, 0.02140)","Gaussian(-0.93421, 0.02580)","Gaussian(0.74144, 0.03943)"
45,"Gaussian(1.14713, 0.02714)","Gaussian(1.62704, 0.02960)","Gaussian(0.62346, 0.02664)","Gaussian(0.85612, 0.02312)","Gaussian(-1.06162, 0.02706)","Gaussian(0.80774, 0.04554)"
46,"Gaussian(-1.17103, 0.02229)","Gaussian(0.19942, 0.01633)","Gaussian(1.71870, 0.02336)","Gaussian(0.62487, 0.02182)","Gaussian(0.49134, 0.02728)","Gaussian(-1.65357, 0.03696)"
47,"Gaussian(-1.50846, 0.02093)","Gaussian(1.68495, 0.02830)","Gaussian(-0.54768, 0.03105)","Gaussian(0.10693, 0.02825)","Gaussian(-0.48233, 0.03476)","Gaussian(-1.87440, 0.04797)"
48,"Gaussian(0.88798, 0.01463)","Gaussian(-1.46113, 0.01873)","Gaussian(0.48876, 0.02069)","Gaussian(1.04941, 0.02014)","Gaussian(0.20485, 0.02273)","Gaussian(-0.74444, 0.03258)"
49,"Gaussian(0.03145, 0.02704)","Gaussian(1.78678, 0.02927)","Gaussian(2.55618, 0.04499)","Gaussian(-0.12504, 0.03239)","Gaussian(0.18346, 0.03122)","Gaussian(0.50926, 0.05700)"
50,"Gaussian(-1.54882, 0.01821)","Gaussian(0.77920, 0.01620)","Gaussian(-0.78705, 0.01917)","Gaussian(-0.65130, 0.01714)","Gaussian(-0.45386, 0.02240)","Gaussian(-0.90693, 0.03265)"
51,"Gaussian(2.42770, 0.04193)","Gaussian(1.35402, 0.02629)","Gaussian(0.25619, 0.03233)","Gaussian(0.09095, 0.02981)","Gaussian(1.49255, 0.03646)","Gaussian(0.78683, 0.05474)"
52,"Gaussian(-1.37671, 0.02233)","Gaussian(-1.12016, 0.01700)","Gaussian(0.32367, 0.02101)","Gaussian(-0.67950, 0.02115)","Gaussian(-0.58825, 0.02186)","Gaussian(-2.15832, 0.03558)"
53,"Gaussian(2.11441, 0.03137)","Gaussian(0.26444, 0.01695)","Gaussian(0.70518, 0.02972)","Gaussian(-2.10906, 0.03701)","Gaussian(0.57712, 0.02651)","Gaussian(-0.09955, 0.04590)"
54,"Gaussian(-0.75810, 0.01879)","Gaussian(1.16959, 0.02124)","Gaussian(-2.28594, 0.02958)","Gaussian(-0.96855, 0.02248)","Gaussian(-0.93305, 0.02751)","Gaussian(-1.17239, 0.04201)"
55,"Gaussian(0.53915, 0.01457)","Gaussian(-2.34155, 0.02718)","Gaussian(-0.17793, 0.02109)","Gaussian(0.27499, 0.01988)","Gaussian(0.11670, 0.02260)","Gaussian(-0.75213, 0.03441)"
56,"Gaussian(1.04930, 0.01858)","Gaussian(-0.48497, 0.01749)","Gaussian(-1.85876, 0.02177)","Gaussian(-0.67872, 0.02177)","Gaussian(-0.87889, 0.03057)","Gaussian(0.87751, 0.03590)"
57,"Gaussian(1.84519, 0.02095)","Gaussian(-0.40446, 0.01771)","Gaussian(0.57197, 0.02265)","Gaussian(1.59367, 0.02309)","Gaussian(-0.51887, 0.02767)","Gaussian(-0.30352, 0.03784)"
58,"Gaussian(0.66494, 0.02400)","Gaussian(-1.51701, 0.03106)","Gaussian(1.69379, 0.04223)","Gaussian(-0.07241, 0.03484)","Gaussian(1.12995, 0.04882)","Gaussian(3.28334, 0.06111)"
59,"Gaussian(1.30802, 0.02176)","Gaussian(1.31180, 0.02098)","Gaussian(0.14066, 0.02006)","Gaussian(1.57942, 0.02061)","Gaussian(-0.52961, 0.02519)","Gaussian(-0.52827, 0.03909)"
60,"Gaussian(0.12171, 0.01711)","Gaussian(-0.46990, 0.01702)","Gaussian(0.06734, 0.02264)","Gaussian(-1.34837, 0.02631)","Gaussian(-1.80858, 0.02716)","Gaussian(2.11737, 0.03759)"
61,"Gaussian(1.49253, 0.01989)","Gaussian(0.51653, 0.01634)","Gaussian(0.12920, 0.02459)","Gaussian(-1.48565, 0.02378)","Gaussian(1.53774, 0.03172)","Gaussian(1.26988, 0.03849)"
62,"Gaussian(-1.43835, 0.03863)","Gaussian(-0.76463, 0.02557)","Gaussian(-2.07866, 0.04415)","Gaussian(0.70881, 0.02798)","Gaussian(0.68484, 0.02643)","Gaussian(-0.17455, 0.05387)"
63,"Gaussian(0.60110, 0.02033)","Gaussian(1.48678, 0.02169)","Gaussian(1.00041, 0.02425)","Gaussian(-1.37395, 0.02361)","Gaussian(0.71506, 0.02285)","Gaussian(0.84980, 0.03914)"
64,"Gaussian(-1.16652, 0.02185)","Gaussian(-0.52255, 0.01890)","Gaussian(-0.63863, 0.02102)","Gaussian(0.98334, 0.03095)","Gaussian(1.58828, 0.03218)","Gaussian(0.70831, 0.04015)"
65,"Gaussian(1.25963, 0.02097)","Gaussian(1.07713, 0.02462)","Gaussian(-1.74882, 0.02970)","Gaussian(1.74266, 0.03066)","Gaussian(-0.03583, 0.03233)","Gaussian(-0.80316, 0.04818)"
66,"Gaussian(-0.43668, 0.01656)","Gaussian(0.44540, 0.01466)","Gaussian(0.38607, 0.02282)","Gaussian(-2.12934, 0.03073)","Gaussian(0.93538, 0.02600)","Gaussian(-0.54113, 0.03581)"
67,"Gaussian(0.06419, 0.02419)","Gaussian(0.27793, 0.01906)","Gaussian(1.89864, 0.03036)","Gaussian(0.32429, 0.02389)","Gaussian(1.40757, 0.03839)","Gaussian(-1.69371, 0.04631)"
68,"Gaussian(-0.83552, 0.02234)","Gaussian(1.67504, 0.02216)","Gaussian(-1.14928, 0.02587)","Gaussian(-0.39242, 0.02444)","Gaussian(2.42961, 0.04039)","Gaussian(-0.05693, 0.04669)"
69,"Gaussian(1.18258, 0.01676)","Gaussian(-1.61482, 0.02548)","Gaussian(-0.38166, 0.02472)","Gaussian(1.15092, 0.02288)","Gaussian(1.29303, 0.02641)","Gaussian(-0.13892, 0.03942)"
70,"Gaussian(0.06204, 0.01553)","Gaussian(-0.41551, 0.01326)","Gaussian(-0.07756, 0.01490)","Gaussian(1.41080, 0.02058)","Gaussian(-2.00346, 0.02929)","Gaussian(0.25677, 0.03033)"
71,"Gaussian(-0.02628, 0.01967)","Gaussian(0.20323, 0.01823)","Gaussian(1.05847, 0.02733)","Gaussian(-2.19732, 0.03296)","Gaussian(-1.08956, 0.02786)","Gaussian(-1.41782, 0.04163)"
72,"Gaussian(0.44175, 0.01864)","Gaussian(0.79361, 0.02320)","Gaussian(-0.13536, 0.02313)","Gaussian(-1.90457, 0.02829)","Gaussian(-1.19038, 0.02765)","Gaussian(0.53591, 0.04049)"
73,"Gaussian(1.56390, 0.02230)","Gaussian(-0.08645, 0.01625)","Gaussian(1.67041, 0.02987)","Gaussian(-0.66242, 0.02760)","Gaussian(-0.97912, 0.02862)","Gaussian(0.07836, 0.04161)"
74,"Gaussian(-1.76447, 0.02966)","Gaussian(-0.09554, 0.01667)","Gaussian(1.13215, 0.02216)","Gaussian(-0.67805, 0.02120)","Gaussian(0.86383, 0.02322)","Gaussian(0.86349, 0.03793)"
75,"Gaussian(-3.11607, 0.06243)","Gaussian(-1.05955, 0.01989)","Gaussian(-0.05475, 0.02706)","Gaussian(0.81596, 0.02891)","Gaussian(-0.61746, 0.03202)","Gaussian(0.50928, 0.05074)"
76,"Gaussian(0.61539, 0.01843)","Gaussian(1.58318, 0.02449)","Gaussian(-1.71221, 0.02227)","Gaussian(-1.37436, 0.02697)","Gaussian(1.27512, 0.02977)","Gaussian(0.80166, 0.04152)"
77,"Gaussian(0.84426, 0.02511)","Gaussian(0.45936, 0.01781)","Gaussian(-2.90514, 0.05301)","Gaussian(0.53247, 0.03045)","Gaussian(-0.81104, 0.03194)","Gaussian(-0.90462, 0.04942)"
78,"Gaussian(-1.04557, 0.01997)","Gaussian(2.06483, 0.03058)","Gaussian(1.26347, 0.02433)","Gaussian(-1.37563, 0.02360)","Gaussian(-0.27646, 0.02626)","Gaussian(-0.14706, 0.04202)"
79,"Gaussian(0.97146, 0.01933)","Gaussian(1.05556, 0.01777)","Gaussian(1.98409, 0.03010)","Gaussian(-0.29378, 0.02037)","Gaussian(-0.80857, 0.02124)","Gaussian(1.03918, 0.03743)"
80,"Gaussian(-1.32925, 0.01832)","Gaussian(0.68414, 0.01657)","Gaussian(-2.15855, 0.02517)","Gaussian(-1.48395, 0.02356)","Gaussian(0.65469, 0.02527)","Gaussian(0.04191, 0.03843)"
81,"Gaussian(-1.57541, 0.02278)","Gaussian(0.58346, 0.01861)","Gaussian(0.80364, 0.02286)","Gaussian(-0.39260, 0.02496)","Gaussian(0.80684, 0.02773)","Gaussian(1.55157, 0.04025)"
82,Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(1.00000),Gaussian.PointMass(0.00000),"Gaussian(0.56257, 0.02409)"
83,"Gaussian(0.05591, 0.01868)","Gaussian(-2.21635, 0.02197)","Gaussian(0.41977, 0.02021)","Gaussian(-1.05036, 0.02057)","Gaussian(-1.21618, 0.03072)","Gaussian(1.00192, 0.03767)"
84,"Gaussian(0.41077, 0.01855)","Gaussian(0.59249, 0.01943)","Gaussian(-1.33042, 0.02772)","Gaussian(1.17411, 0.03200)","Gaussian(1.93045, 0.03512)","Gaussian(0.12538, 0.04402)"
85,"Gaussian(0.10619, 0.01669)","Gaussian(0.22347, 0.01962)","Gaussian(1.58768, 0.02943)","Gaussian(-0.61973, 0.02726)","Gaussian(1.55578, 0.03401)","Gaussian(1.23236, 0.04116)"
86,"Gaussian(0.31343, 0.01629)","Gaussian(-2.08178, 0.03632)","Gaussian(-0.54259, 0.02700)","Gaussian(0.72888, 0.02936)","Gaussian(1.78670, 0.03896)","Gaussian(-0.30006, 0.04682)"
87,"Gaussian(1.22207, 0.02172)","Gaussian(2.09905, 0.04159)","Gaussian(-0.64568, 0.02703)","Gaussian(1.29264, 0.02429)","Gaussian(-0.23408, 0.03137)","Gaussian(0.23871, 0.04895)"
88,Gaussian.PointMass(1.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),"Gaussian(-0.29189, 0.02457)"
89,"Gaussian(-2.18177, 0.02954)","Gaussian(0.27778, 0.01682)","Gaussian(-0.13608, 0.02101)","Gaussian(-0.90825, 0.01726)","Gaussian(0.21864, 0.02093)","Gaussian(0.99551, 0.03500)"
90,"Gaussian(2.06229, 0.03301)","Gaussian(0.68848, 0.02115)","Gaussian(0.10419, 0.03578)","Gaussian(-2.40456, 0.04368)","Gaussian(0.84497, 0.04636)","Gaussian(0.93998, 0.05853)"
91,"Gaussian(-0.01681, 0.01868)","Gaussian(0.29782, 0.01963)","Gaussian(-2.25682, 0.02943)","Gaussian(-1.21872, 0.02250)","Gaussian(-1.74685, 0.04276)","Gaussian(0.18304, 0.04141)"
92,Gaussian.PointMass(0.00000),Gaussian.PointMass(1.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),"Gaussian(0.12104, 0.02427)"
93,"Gaussian(1.89902, 0.02313)","Gaussian(0.19366, 0.01631)","Gaussian(-0.22815, 0.01856)","Gaussian(0.93643, 0.02005)","Gaussian(-0.53885, 0.03203)","Gaussian(-1.70564, 0.03687)"
94,"Gaussian(-0.31394, 0.01903)","Gaussian(1.63766, 0.02108)","Gaussian(-1.16404, 0.02380)","Gaussian(1.20918, 0.02265)","Gaussian(-1.70360, 0.02609)","Gaussian(-0.34988, 0.03973)"
95,"Gaussian(0.17155, 0.01910)","Gaussian(2.47633, 0.05810)","Gaussian(0.57707, 0.02988)","Gaussian(-0.28417, 0.02807)","Gaussian(-1.37053, 0.03166)","Gaussian(-1.24879, 0.04965)"
96,"Gaussian(1.63480, 0.02007)","Gaussian(0.47059, 0.01535)","Gaussian(-0.06371, 0.01994)","Gaussian(-0.68390, 0.02039)","Gaussian(1.85516, 0.02932)","Gaussian(-0.51056, 0.03567)"
97,Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(1.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),"Gaussian(-0.81141, 0.02676)"
98,Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(0.00000),Gaussian.PointMass(1.00000),"Gaussian(1.12271, 0.02406)"
99,"Gaussian(-1.01301, 0.01944)","Gaussian(2.08374, 0.02825)","Gaussian(0.86649, 0.02459)","Gaussian(0.21731, 0.02215)","Gaussian(-1.04380, 0.02406)","Gaussian(-0.28325, 0.04002)"
