user,Threshold_0,Threshold_1,Threshold_2,Threshold_3,Threshold_4,Threshold_5,Threshold_6,Trait_0,Trait_1,Trait_2,Trait_3,Trait_4,Bias
15,Gaussian.PointMass(-np.inf),"Gaussian(-3.18557, 0.11045)","Gaussian(-0.96622, 0.11221)",Gaussian.PointMass(0.00000),"Gaussian(1.49651, 0.09342)","Gaussian(2.75058, 0.11630)",Gaussian.PointMass(np.inf),"Gaussian(2.42610, 0.03413)","Gaussian(1.16890, 0.02327)","Gaussian(0.21703, 0.03246)","Gaussian(0.49450, 0.03531)","Gaussian(-1.05070, 0.02938)","Gaussian(1.21466, 0.03948)"
16,Gaussian.PointMass(-np.inf),"Gaussian(-2.64091, 0.13414)","Gaussian(-0.89762, 0.13450)",Gaussian.PointMass(0.00000),"Gaussian(2.11628, 0.09731)","Gaussian(2.48007, 0.12281)",Gaussian.PointMass(np.inf),"Gaussian(-1.68656, 0.03517)","Gaussian(-0.65656, 0.02346)","Gaussian(-1.64421, 0.03910)","Gaussian(2.27677, 0.04792)","Gaussian(0.33227, 0.03532)","Gaussian(0.97196, 0.04548)"
17,Gaussian.PointMass(-np.inf),"Gaussian(-2.98961, 0.08481)","Gaussian(-1.41161, 0.05875)",Gaussian.PointMass(0.00000),"Gaussian(1.10818, 0.06528)","Gaussian(2.98525, 0.09240)",Gaussian.PointMass(np.inf),"Gaussian(-0.38559, 0.01792)","Gaussian(1.14734, 0.01551)","Gaussian(-1.54731, 0.02294)","Gaussian(1.92035, 0.02642)","Gaussian(0.83820, 0.02122)","Gaussian(-0.25015, 0.02678)"
18,Gaussian.PointMass(-np.inf),"Gaussian(-2.64632, 0.07343)","Gaussian(-1.00259, 0.06253)",Gaussian.PointMass(0.00000),"Gaussian(1.16842, 0.10154)","Gaussian(3.36596, 0.27826)",Gaussian.PointMass(np.inf),"Gaussian(1.40342, 0.02611)","Gaussian(1.38341, 0.02266)","Gaussian(0.53088, 0.02412)","Gaussian(0.14940, 0.02467)","Gaussian(-0.61024, 0.02855)","Gaussian(-2.49289, 0.03448)"
19,Gaussian.PointMass(-np.inf),"Gaussian(-1.56063, 0.17707)","Gaussian(-1.80367, 0.11840)",Gaussian.PointMass(0.00000),"Gaussian(1.45152, 0.09611)","Gaussian(2.17652, 0.11393)",Gaussian.PointMass(np.inf),"Gaussian(2.58754, 0.05561)","Gaussian(1.32920, 0.02280)","Gaussian(-0.35267, 0.03103)","Gaussian(-0.88058, 0.03139)","Gaussian(0.12082, 0.04076)","Gaussian(0.77930, 0.04425)"
20,Gaussian.PointMass(-np.inf),"Gaussian(-2.71244, 0.10549)","Gaussian(-0.61062, 0.08883)",Gaussian.PointMass(0.00000),"Gaussian(2.37610, 0.09049)","Gaussian(2.75016, 0.12693)",Gaussian.PointMass(np.inf),"Gaussian(-1.20107, 0.02716)","Gaussian(-1.28352, 0.02391)","Gaussian(0.38372, 0.02389)","Gaussian(-0.01468, 0.02876)","Gaussian(-2.41228, 0.03695)","Gaussian(0.52606, 0.03556)"
21,Gaussian.PointMass(-np.inf),"Gaussian(-2.34390, 0.12575)","Gaussian(-1.14072, 0.09163)",Gaussian.PointMass(0.00000),"Gaussian(0.78291, 0.10784)","Gaussian(2.72157, 0.12613)",Gaussian.PointMass(np.inf),"Gaussian(0.16039, 0.03153)","Gaussian(-2.43418, 0.04319)","Gaussian(1.44618, 0.03863)","Gaussian(-0.14601, 0.02850)","Gaussian(2.20315, 0.03757)","Gaussian(-0.68852, 0.04646)"
22,Gaussian.PointMass(-np.inf),"Gaussian(-3.02217, 0.17023)","Gaussian(-1.57932, 0.11970)",Gaussian.PointMass(0.00000),"Gaussian(1.03708, 0.08437)","Gaussian(3.06965, 0.09421)",Gaussian.PointMass(np.inf),"Gaussian(-2.10786, 0.03914)","Gaussian(-0.87726, 0.02154)","Gaussian(0.04382, 0.03894)","Gaussian(-1.57980, 0.04024)","Gaussian(-0.21655, 0.02698)","Gaussian(0.96049, 0.04076)"
23,Gaussian.PointMass(-np.inf),"Gaussian(-1.73428, 0.18711)","Gaussian(-1.69737, 0.15633)",Gaussian.PointMass(0.00000),"Gaussian(0.56309, 0.08819)","Gaussian(2.54682, 0.10748)",Gaussian.PointMass(np.inf),"Gaussian(-1.21334, 0.03304)","Gaussian(1.50294, 0.02522)","Gaussian(0.09049, 0.05024)","Gaussian(-0.67533, 0.03431)","Gaussian(2.38623, 0.04404)","Gaussian(0.23957, 0.04985)"
24,Gaussian.PointMass(-np.inf),"Gaussian(-2.01045, 0.12300)","Gaussian(-0.90055, 0.10583)",Gaussian.PointMass(0.00000),"Gaussian(1.66323, 0.08994)","Gaussian(2.26419, 0.10096)",Gaussian.PointMass(np.inf),"Gaussian(1.38370, 0.02879)","Gaussian(1.51148, 0.02860)","Gaussian(1.73878, 0.03810)","Gaussian(-0.02763, 0.03163)","Gaussian(0.03188, 0.02583)","Gaussian(1.10788, 0.04016)"
25,Gaussian.PointMass(-np.inf),"Gaussian(-1.75020, 0.12316)","Gaussian(-1.63027, 0.11558)",Gaussian.PointMass(0.00000),"Gaussian(0.64236, 0.09881)","Gaussian(2.54604, 0.11468)",Gaussian.PointMass(np.inf),"Gaussian(-0.87385, 0.02819)","Gaussian(0.58560, 0.02956)","Gaussian(-1.14313, 0.03441)","Gaussian(-1.88415, 0.03445)","Gaussian(1.68356, 0.04046)","Gaussian(-0.71658, 0.04388)"
26,Gaussian.PointMass(-np.inf),"Gaussian(-2.80240, 0.17772)","Gaussian(-1.33483, 0.08490)",Gaussian.PointMass(0.00000),"Gaussian(1.74674, 0.09410)","Gaussian(2.15092, 0.11499)",Gaussian.PointMass(np.inf),"Gaussian(0.23303, 0.02550)","Gaussian(1.42177, 0.02612)","Gaussian(-1.15476, 0.02684)","Gaussian(2.37261, 0.04769)","Gaussian(0.04698, 0.03332)","Gaussian(0.89644, 0.03988)"
27,Gaussian.PointMass(-np.inf),"Gaussian(-2.40244, 0.11197)","Gaussian(-0.81662, 0.09581)",Gaussian.PointMass(0.00000),"Gaussian(2.42389, 0.09939)","Gaussian(2.38321, 0.12559)",Gaussian.PointMass(np.inf),"Gaussian(-0.00794, 0.02480)","Gaussian(-1.34097, 0.02540)","Gaussian(0.12051, 0.02537)","Gaussian(2.35864, 0.03688)","Gaussian(0.19614, 0.02602)","Gaussian(0.70741, 0.03633)"
28,Gaussian.PointMass(-np.inf),"Gaussian(-1.91489, 0.17731)","Gaussian(-2.14896, 0.12701)",Gaussian.PointMass(0.00000),"Gaussian(0.61271, 0.09772)","Gaussian(3.32108, 0.11714)",Gaussian.PointMass(np.inf),"Gaussian(-0.11639, 0.02612)","Gaussian(1.04809, 0.02566)","Gaussian(-0.41837, 0.03018)","Gaussian(-2.40247, 0.04045)","Gaussian(-1.50996, 0.03140)","Gaussian(-0.01194, 0.04272)"
29,Gaussian.PointMass(-np.inf),"Gaussian(-4.26811, 0.22122)","Gaussian(-0.92677, 0.10431)",Gaussian.PointMass(0.00000),"Gaussian(0.81010, 0.09001)","Gaussian(1.76551, 0.09251)",Gaussian.PointMass(np.inf),"Gaussian(1.85820, 0.03384)","Gaussian(0.61989, 0.03152)","Gaussian(1.73189, 0.04398)","Gaussian(-0.75870, 0.03391)","Gaussian(-0.75771, 0.03134)","Gaussian(1.31420, 0.04383)"
30,Gaussian.PointMass(-np.inf),"Gaussian(-3.60522, 0.11712)","Gaussian(-0.82244, 0.09631)",Gaussian.PointMass(0.00000),"Gaussian(1.90075, 0.14599)","Gaussian(1.97677, 0.18961)",Gaussian.PointMass(np.inf),"Gaussian(2.22780, 0.03971)","Gaussian(0.11118, 0.02486)","Gaussian(-1.56463, 0.04529)","Gaussian(0.95717, 0.03024)","Gaussian(-1.01299, 0.03254)","Gaussian(-0.15194, 0.04433)"
31,Gaussian.PointMass(-np.inf),"Gaussian(-2.45077, 0.09523)","Gaussian(-0.75530, 0.09830)",Gaussian.PointMass(0.00000),"Gaussian(1.20961, 0.15681)","Gaussian(3.13565, 0.21856)",Gaussian.PointMass(np.inf),"Gaussian(0.08439, 0.03669)","Gaussian(-1.28833, 0.02878)","Gaussian(-0.09997, 0.03414)","Gaussian(-0.92270, 0.03618)","Gaussian(-2.92920, 0.05163)","Gaussian(-1.18976, 0.05281)"
32,Gaussian.PointMass(-np.inf),"Gaussian(-2.38151, 0.09043)","Gaussian(-1.16070, 0.07517)",Gaussian.PointMass(0.00000),"Gaussian(1.43901, 0.10602)","Gaussian(3.53470, 0.16278)",Gaussian.PointMass(np.inf),"Gaussian(2.51716, 0.03645)","Gaussian(0.14183, 0.02590)","Gaussian(-1.06732, 0.02846)","Gaussian(1.28579, 0.03546)","Gaussian(0.80736, 0.02609)","Gaussian(-1.65149, 0.03911)"
33,Gaussian.PointMass(-np.inf),"Gaussian(-3.05490, 0.12734)","Gaussian(-1.40397, 0.08575)",Gaussian.PointMass(0.00000),"Gaussian(1.91030, 0.07535)","Gaussian(3.19617, 0.10026)",Gaussian.PointMass(np.inf),"Gaussian(-2.45067, 0.02971)","Gaussian(0.21519, 0.01912)","Gaussian(1.06748, 0.03020)","Gaussian(-0.56312, 0.02446)","Gaussian(0.79724, 0.02458)","Gaussian(0.71894, 0.03397)"
34,Gaussian.PointMass(-np.inf),"Gaussian(-3.10182, 0.08086)","Gaussian(-1.02881, 0.06111)",Gaussian.PointMass(0.00000),"Gaussian(1.20978, 0.12855)","Gaussian(2.57490, 0.19165)",Gaussian.PointMass(np.inf),"Gaussian(-0.04619, 0.02226)","Gaussian(-2.34829, 0.03071)","Gaussian(0.47488, 0.03139)","Gaussian(-0.52798, 0.03006)","Gaussian(-1.01620, 0.02458)","Gaussian(-2.12888, 0.03599)"
35,Gaussian.PointMass(-np.inf),"Gaussian(-2.09322, 0.09653)","Gaussian(-1.07174, 0.09033)",Gaussian.PointMass(0.00000),"Gaussian(0.87449, 0.09949)","Gaussian(3.72554, 0.16770)",Gaussian.PointMass(np.inf),"Gaussian(1.21503, 0.02574)","Gaussian(-2.34171, 0.03936)","Gaussian(-0.30583, 0.02937)","Gaussian(-0.53024, 0.02634)","Gaussian(0.37331, 0.03169)","Gaussian(-0.66995, 0.04133)"
36,Gaussian.PointMass(-np.inf),"Gaussian(-2.80702, 0.15282)","Gaussian(-0.90513, 0.13296)",Gaussian.PointMass(0.00000),"Gaussian(1.24889, 0.09212)","Gaussian(3.05925, 0.09562)",Gaussian.PointMass(np.inf),"Gaussian(-0.03830, 0.03124)","Gaussian(2.70190, 0.03516)","Gaussian(-0.23862, 0.03425)","Gaussian(-1.02226, 0.02904)","Gaussian(0.17208, 0.02831)","Gaussian(0.36777, 0.04292)"
37,Gaussian.PointMass(-np.inf),"Gaussian(-2.77533, 0.19592)","Gaussian(-2.74260, 0.12945)",Gaussian.PointMass(0.00000),"Gaussian(0.75155, 0.07554)","Gaussian(2.08067, 0.09226)",Gaussian.PointMass(np.inf),"Gaussian(0.87780, 0.02439)","Gaussian(-0.32341, 0.02071)","Gaussian(2.35763, 0.05339)","Gaussian(-0.00445, 0.02174)","Gaussian(-0.07368, 0.02566)","Gaussian(-0.13411, 0.03610)"
38,Gaussian.PointMass(-np.inf),"Gaussian(-2.40964, 0.10085)","Gaussian(-0.74215, 0.08446)",Gaussian.PointMass(0.00000),"Gaussian(0.71766, 0.07685)","Gaussian(3.95964, 0.13764)",Gaussian.PointMass(np.inf),"Gaussian(-0.53405, 0.02146)","Gaussian(0.81610, 0.02562)","Gaussian(0.22577, 0.02736)","Gaussian(1.43341, 0.03392)","Gaussian(-2.11931, 0.03330)","Gaussian(0.02977, 0.03542)"
39,Gaussian.PointMass(-np.inf),"Gaussian(-2.19851, 0.11454)","Gaussian(-0.85527, 0.11606)",Gaussian.PointMass(0.00000),"Gaussian(0.81497, 0.09051)","Gaussian(2.87390, 0.12323)",Gaussian.PointMass(np.inf),"Gaussian(2.33091, 0.04312)","Gaussian(-1.11462, 0.02660)","Gaussian(-1.52231, 0.06311)","Gaussian(0.62963, 0.03453)","Gaussian(-1.18379, 0.02578)","Gaussian(-0.51272, 0.04492)"
40,Gaussian.PointMass(-np.inf),"Gaussian(-3.09545, 0.17386)","Gaussian(-0.70792, 0.12542)",Gaussian.PointMass(0.00000),"Gaussian(1.63933, 0.07357)","Gaussian(3.50867, 0.10939)",Gaussian.PointMass(np.inf),"Gaussian(1.03953, 0.02751)","Gaussian(-0.65260, 0.02542)","Gaussian(0.61383, 0.03356)","Gaussian(-1.71001, 0.03567)","Gaussian(2.33655, 0.03663)","Gaussian(0.30010, 0.04053)"
41,Gaussian.PointMass(-np.inf),"Gaussian(-2.31525, 0.10695)","Gaussian(-0.96852, 0.10073)",Gaussian.PointMass(0.00000),"Gaussian(0.52383, 0.08968)","Gaussian(3.11614, 0.09748)",Gaussian.PointMass(np.inf),"Gaussian(-1.09113, 0.02622)","Gaussian(-0.21395, 0.02093)","Gaussian(1.36311, 0.03805)","Gaussian(2.46396, 0.03594)","Gaussian(1.40226, 0.03039)","Gaussian(0.29602, 0.03804)"
42,Gaussian.PointMass(-np.inf),"Gaussian(-1.96789, 0.09748)","Gaussian(-0.88897, 0.10172)",Gaussian.PointMass(0.00000),"Gaussian(0.67259, 0.20030)","Gaussian(2.75024, 0.16832)",Gaussian.PointMass(np.inf),"Gaussian(-1.93916, 0.05049)","Gaussian(-0.20899, 0.03267)","Gaussian(-1.53631, 0.04863)","Gaussian(-0.21671, 0.04664)","Gaussian(-2.15836, 0.04405)","Gaussian(-1.62011, 0.05532)"
43,Gaussian.PointMass(-np.inf),"Gaussian(-2.43512, 0.14097)","Gaussian(-1.44201, 0.10988)",Gaussian.PointMass(0.00000),"Gaussian(2.21810, 0.09006)","Gaussian(2.52407, 0.12019)",Gaussian.PointMass(np.inf),"Gaussian(-1.26580, 0.02946)","Gaussian(0.25762, 0.02130)","Gaussian(0.54405, 0.03992)","Gaussian(-1.99770, 0.03708)","Gaussian(1.12233, 0.02863)","Gaussian(1.17413, 0.04030)"
44,Gaussian.PointMass(-np.inf),"Gaussian(-2.04368, 0.08434)","Gaussian(-0.65351, 0.08060)",Gaussian.PointMass(0.00000),"Gaussian(0.25394, 0.13133)","Gaussian(2.93167, 0.24881)",Gaussian.PointMass(np.inf),"Gaussian(0.51774, 0.03080)","Gaussian(-0.74985, 0.02749)","Gaussian(-1.14811, 0.04050)","Gaussian(-1.76570, 0.03496)","Gaussian(-1.47269, 0.03680)","Gaussian(-2.17114, 0.04677)"
45,Gaussian.PointMass(-np.inf),"Gaussian(-3.53776, 0.12885)","Gaussian(-1.29559, 0.08627)",Gaussian.PointMass(0.00000),"Gaussian(1.41997, 0.09899)","Gaussian(2.89978, 0.11279)",Gaussian.PointMass(np.inf),"Gaussian(-3.30700, 0.04958)","Gaussian(0.16307, 0.02131)","Gaussian(-0.52794, 0.02793)","Gaussian(0.97505, 0.02583)","Gaussian(0.19119, 0.02469)","Gaussian(0.55826, 0.03845)"
46,Gaussian.PointMass(-np.inf),"Gaussian(-2.28985, 0.10792)","Gaussian(-0.82741, 0.09771)",Gaussian.PointMass(0.00000),"Gaussian(0.34773, 0.09729)","Gaussian(3.71305, 0.11277)",Gaussian.PointMass(np.inf),"Gaussian(-1.01545, 0.02789)","Gaussian(-0.50215, 0.02471)","Gaussian(0.65088, 0.03468)","Gaussian(1.85208, 0.03161)","Gaussian(1.41267, 0.02768)","Gaussian(0.54110, 0.03855)"
47,Gaussian.PointMass(-np.inf),"Gaussian(-2.33608, 0.11369)","Gaussian(-0.44437, 0.10334)",Gaussian.PointMass(0.00000),"Gaussian(0.76569, 0.10173)","Gaussian(2.29345, 0.11811)",Gaussian.PointMass(np.inf),"Gaussian(0.82732, 0.02720)","Gaussian(1.04634, 0.03125)","Gaussian(1.53074, 0.04403)","Gaussian(-2.67404, 0.05456)","Gaussian(-0.46638, 0.03863)","Gaussian(-0.08029, 0.04637)"
48,Gaussian.PointMass(-np.inf),"Gaussian(-3.05207, 0.10241)","Gaussian(-1.65585, 0.08052)",Gaussian.PointMass(0.00000),"Gaussian(0.94542, 0.11130)","Gaussian(1.96618, 0.10912)",Gaussian.PointMass(np.inf),"Gaussian(-0.22170, 0.02865)","Gaussian(-1.63002, 0.02386)","Gaussian(-0.09637, 0.02753)","Gaussian(-2.15272, 0.03939)","Gaussian(1.04104, 0.03149)","Gaussian(-0.99799, 0.03866)"
49,Gaussian.PointMass(-np.inf),"Gaussian(-3.01302, 0.14862)","Gaussian(-1.99948, 0.11456)",Gaussian.PointMass(0.00000),"Gaussian(0.67234, 0.07802)","Gaussian(3.36131, 0.10909)",Gaussian.PointMass(np.inf),"Gaussian(1.69177, 0.02641)","Gaussian(0.10002, 0.02373)","Gaussian(-1.18969, 0.03492)","Gaussian(1.19647, 0.03077)","Gaussian(-1.05680, 0.02733)","Gaussian(1.43984, 0.03810)"
50,Gaussian.PointMass(-np.inf),"Gaussian(-2.59963, 0.12040)","Gaussian(-1.41669, 0.08969)",Gaussian.PointMass(0.00000),"Gaussian(0.84343, 0.09019)","Gaussian(2.42078, 0.10134)",Gaussian.PointMass(np.inf),"Gaussian(-0.53134, 0.02570)","Gaussian(2.86410, 0.04925)","Gaussian(0.43866, 0.03070)","Gaussian(-0.33925, 0.02703)","Gaussian(0.26499, 0.02594)","Gaussian(-0.29494, 0.03904)"
51,Gaussian.PointMass(-np.inf),"Gaussian(-2.54579, 0.12810)","Gaussian(-1.39256, 0.09358)",Gaussian.PointMass(0.00000),"Gaussian(1.77628, 0.10190)","Gaussian(2.34471, 0.14368)",Gaussian.PointMass(np.inf),"Gaussian(0.72107, 0.03287)","Gaussian(1.55890, 0.03261)","Gaussian(2.14721, 0.04806)","Gaussian(-1.69796, 0.03537)","Gaussian(-0.83299, 0.03275)","Gaussian(0.38683, 0.04506)"
52,Gaussian.PointMass(-np.inf),"Gaussian(-1.39931, 0.10318)","Gaussian(-0.98596, 0.10874)",Gaussian.PointMass(0.00000),"Gaussian(2.14923, 0.11420)","Gaussian(3.00215, 0.18608)",Gaussian.PointMass(np.inf),"Gaussian(1.59269, 0.02846)","Gaussian(-1.39097, 0.02796)","Gaussian(-0.41865, 0.04512)","Gaussian(-0.35445, 0.03387)","Gaussian(1.39563, 0.03026)","Gaussian(-2.14919, 0.04683)"
53,Gaussian.PointMass(-np.inf),"Gaussian(-2.07944, 0.22181)","Gaussian(-1.22489, 0.18358)",Gaussian.PointMass(0.00000),"Gaussian(1.79488, 0.11506)","Gaussian(1.99884, 0.13262)",Gaussian.PointMass(np.inf),"Gaussian(-1.82059, 0.05231)","Gaussian(0.77132, 0.03410)","Gaussian(0.23983, 0.05479)","Gaussian(-0.56496, 0.06558)","Gaussian(1.96666, 0.04994)","Gaussian(1.91119, 0.06127)"
54,Gaussian.PointMass(-np.inf),"Gaussian(-2.01587, 0.09484)","Gaussian(-1.22282, 0.08053)",Gaussian.PointMass(0.00000),"Gaussian(1.39446, 0.08842)","Gaussian(2.80294, 0.12912)",Gaussian.PointMass(np.inf),"Gaussian(2.79802, 0.04379)","Gaussian(-0.16660, 0.02125)","Gaussian(0.14301, 0.03261)","Gaussian(-1.54260, 0.02980)","Gaussian(0.43058, 0.02703)","Gaussian(-0.09147, 0.03935)"
55,Gaussian.PointMass(-np.inf),"Gaussian(-2.26334, 0.08992)","Gaussian(-1.35057, 0.08558)",Gaussian.PointMass(0.00000),"Gaussian(-0.08552, 0.13917)","Gaussian(3.48213, 0.19249)",Gaussian.PointMass(np.inf),"Gaussian(-0.79751, 0.03145)","Gaussian(0.24760, 0.02875)","Gaussian(-2.34068, 0.04872)","Gaussian(-0.24645, 0.03154)","Gaussian(-1.48337, 0.03232)","Gaussian(-0.92402, 0.04412)"
56,Gaussian.PointMass(-np.inf),"Gaussian(-2.66421, 0.08870)","Gaussian(-1.00822, 0.06863)",Gaussian.PointMass(0.00000),"Gaussian(1.78791, 0.10393)","Gaussian(3.06106, 0.21854)",Gaussian.PointMass(np.inf),"Gaussian(-1.49813, 0.02819)","Gaussian(1.16782, 0.02709)","Gaussian(-1.53920, 0.02739)","Gaussian(-0.48656, 0.02927)","Gaussian(-0.81820, 0.02972)","Gaussian(-2.11549, 0.03748)"
